CounterStrategyRef,CounterStrategySystemId,CounterStrategyID,CaseRef,CounterStrategy_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CS_JO_15","JO",15,"C_JO_2846","Appeasement","jhm","08_13_01_10:23:00","jhm","08_13_01_10:27:04"
"CS_JO_16","JO",16,"C_EGD_1770","Appeasement","jhm","08_16_01_10:07:23","jhm","08_16_01_10:07:26"
"CS_JO_31","JO",31,"C_EGD_2269","Appeasement","jhm","01_17_02_15:03:05","jhm","01_17_02_15:03:06"
"CS_JO_32","JO",32,"C_JO_2959","Appeasement","jhm","02_07_02_14:57:47","jhm","02_07_02_14:58:04"
"CS_JO_33","JO",33,"C_EGD_1848","Appeasement","jhm","02_14_02_14:41:23","jhm","02_14_02_14:42:03"
"CS_JO_34","JO",34,"C_EGD_1025","Appeasement","jhm","02_18_02_16:11:39","jhm","02_18_02_16:11:41"
"CS_JO_35","JO",35,"C_EGD_2361","Appeasement","jhm","03_27_02_10:46:15","jhm","03_27_02_10:46:29"
"CS_JO_36","JO",36,"C_EGD_2159","Appeasement","jhm","05_09_02_13:05:26","jhm","05_09_02_13:05:28"
"CS_JO_38","JO",38,"C_EGD_2287","Appeasement","jhm","06_19_02_14:32:52","jhm","06_19_02_14:32:53"
"CS_JO_39","JO",39,"C_EGD_2327","Appeasement","jhm","06_19_02_15:31:46","jhm","06_19_02_15:31:47"
"CS_JO_44","JO",44,"C_JO_3073","Appeasement","jhm","07_02_02_10:03:19","jhm","07_02_02_10:03:19"
"CS_JO_45","JO",45,"C_JO_3085","Appeasement","jhm","07_03_02_15:24:13","jhm","07_03_02_15:24:14"
"CS_JO_68","JO",68,"C_JO_3246","Appeasement","jhm","08_27_02_11:38:02","jhm","08_27_02_11:38:04"
"CS_JO_71","JO",71,"C_EGD_217","Prayer","jhm","10_28_02_16:12:22","jhm","10_28_02_16:12:23"
"CS_LA_1","LA",1,"C_EGD_160","Community_Healer","LEM","05_17_01_11:02:09","LEM","05_17_01_11:02:18"
"CS_LA_10","LA",10,"C_EGD_401","Appeasement","LEM","07_03_01_10:54:09","LEM","07_03_01_11:01:14"
"CS_LA_11","LA",11,"C_EGD_434","Appeasement","LEM","07_03_01_14:05:48","LEM","07_03_01_14:05:51"
"CS_LA_12","LA",12,"C_EGD_409","Appeasement","LEM","07_04_01_12:54:36","LEM","07_04_01_12:54:37"
"CS_LA_13","LA",13,"C_EGD_409","Counter-magic","LEM","07_04_01_12:54:38","LEM","07_04_01_12:54:40"
"CS_LA_14","LA",14,"C_EGD_409","Prayer","LEM","07_04_01_12:54:42","LEM","07_04_01_12:54:48"
"CS_LA_17","LA",17,"C_EGD_132","Protective_magic","LEM","09_25_01_15:52:03","LEM","09_25_01_15:52:31"
"CS_LA_18","LA",18,"C_EGD_141","Appeasement","LEM","10_01_01_13:25:05","LEM","10_01_01_13:25:06"
"CS_LA_20","LA",20,"C_EGD_141","Community_Healer","LEM","10_01_01_13:25:43","LEM","10_01_01_13:25:45"
"CS_LA_21","LA",21,"C_EGD_147","Appeasement","LEM","10_01_01_15:40:01","LEM","10_01_01_15:40:26"
"CS_LA_22","LA",22,"C_EGD_133","Counter-magic","LEM","10_03_01_10:15:27","LEM","10_03_01_10:15:36"
"CS_LA_23","LA",23,"C_EGD_133","Appeasement","LEM","10_03_01_10:15:37","LEM","10_03_01_10:15:38"
"CS_LA_24","LA",24,"C_EGD_1339","Appeasement","LEM","10_19_01_10:53:01","LEM","10_19_01_10:53:03"
"CS_LA_25","LA",25,"C_EGD_1364","Appeasement","LEM","10_23_01_13:06:20","LEM","10_23_01_13:06:22"
"CS_LA_26","LA",26,"C_EGD_964","Counter-magic","LEM","10_23_01_15:50:37","LEM","10_23_01_15:50:38"
"CS_LA_27","LA",27,"C_EGD_791","Prayer","LEM","11_30_01_10:35:48","LEM","11_30_01_10:35:50"
"CS_LA_28","LA",28,"C_EGD_791","Appeasement","LEM","11_30_01_10:36:16","LEM","11_30_01_10:38:30"
"CS_LA_29","LA",29,"C_EGD_790","Appeasement","LEM","11_30_01_11:52:40","LEM","11_30_01_11:52:43"
"CS_LA_3","LA",3,"C_EGD_170","Scratching","LEM","05_21_01_15:01:12","LEM","05_21_01_15:01:15"
"CS_LA_32","LA",32,"C_LA_2975","Appeasement","LEM","02_01_02_11:24:13","LEM","02_01_02_11:24:15"
"CS_LA_34","LA",34,"C_EGD_737","Appeasement","LEM","02_18_02_17:01:11","LEM","02_18_02_17:01:18"
"CS_LA_36","LA",36,"C_EGD_162","Appeasement","LEM","05_06_02_20:18:39","LEM","05_06_02_20:18:58"
"CS_LA_37","LA",37,"C_EGD_315","Protective_magic","LEM","05_09_02_12:14:08","LEM","05_09_02_12:14:12"
"CS_LA_38","LA",38,"C_EGD_963","Counter-magic","LEM","06_17_02_10:46:18","LEM","06_17_02_10:46:34"
"CS_LA_39","LA",39,"C_EGD_963","Protective_magic","LEM","06_17_02_10:46:34","LEM","06_17_02_10:46:36"
"CS_LA_4","LA",4,"C_EGD_183","Appeasement","LEM","05_22_01_14:46:39","LEM","05_22_01_14:46:46"
"CS_LA_40","LA",40,"C_EGD_963","Appeasement","LEM","06_17_02_10:47:14","LEM","06_17_02_10:47:15"
"CS_LA_41","LA",41,"C_EGD_964","Appeasement","LEM","06_17_02_11:02:06","LEM","06_17_02_11:02:10"
"CS_LA_42","LA",42,"C_EGD_2264","Counter-magic","LEM","06_19_02_11:13:29","LEM","06_19_02_11:13:31"
"CS_LA_43","LA",43,"C_EGD_2219","Counter-magic","LEM","06_19_02_14:28:41","LEM","06_19_02_14:28:44"
"CS_LA_46","LA",46,"C_EGD_217","Prayer","LEM","07_10_02_10:06:36","LEM","07_10_02_10:06:54"
"CS_LA_47","LA",47,"C_EGD_2410","Appeasement","LEM","07_10_02_10:26:18","LEM","07_10_02_10:26:20"
"CS_LA_48","LA",48,"C_EGD_208","Appeasement","LEM","07_10_02_13:47:48","LEM","07_10_02_13:47:49"
"CS_LA_49","LA",49,"C_EGD_184","Appeasement","LEM","07_10_02_16:24:46","LEM","07_10_02_16:24:49"
"CS_LA_5","LA",5,"C_EGD_156","Appeasement","LEM","06_08_01_12:29:28","LEM","06_08_01_12:29:50"
"CS_LA_50","LA",50,"C_EGD_1605","Scratching","LEM","07_12_02_10:27:05","LEM","07_12_02_10:27:07"
"CS_LA_51","LA",51,"C_EGD_786","Advice_Sought","LEM","07_15_02_10:43:24","LEM","11_11_02_11:19:19"
"CS_LA_52","LA",52,"C_EGD_786","Counter-magic","LEM","07_15_02_10:43:32","LEM","07_15_02_10:43:50"
"CS_LA_53","LA",53,"C_EGD_785","Prayer","LEM","07_15_02_10:54:09","LEM","07_15_02_10:54:11"
"CS_LA_54","LA",54,"C_EGD_785","Counter-magic","LEM","07_15_02_10:55:33","LEM","07_15_02_10:55:46"
"CS_LA_55","LA",55,"C_EGD_783","Counter-magic","LEM","07_15_02_16:34:01","LEM","07_15_02_16:34:02"
"CS_LA_56","LA",56,"C_EGD_316","Protective_magic","LEM","07_18_02_09:36:33","LEM","07_18_02_09:37:39"
"CS_LA_57","LA",57,"C_LA_2949","Appeasement","LEM","07_18_02_09:40:50","LEM","07_18_02_09:40:55"
"CS_LA_58","LA",58,"C_EGD_316","Appeasement","LEM","07_18_02_09:41:11","LEM","07_18_02_09:41:45"
"CS_LA_59","LA",59,"C_EGD_789","Protective_magic","LEM","07_19_02_11:54:33","LEM","07_19_02_11:54:36"
"CS_LA_6","LA",6,"C_EGD_173","Counter-magic","LEM","06_15_01_12:51:04","LEM","06_15_01_12:51:12"
"CS_LA_60","LA",60,"C_EGD_794","Appeasement","LEM","07_19_02_12:10:16","LEM","07_19_02_12:10:16"
"CS_LA_61","LA",61,"C_EGD_794","Prayer","LEM","07_19_02_12:10:17","LEM","07_19_02_12:10:19"
"CS_LA_62","LA",62,"C_LA_3135","Counter-magic","LEM","07_19_02_12:49:04","LEM","07_19_02_12:49:07"
"CS_LA_63","LA",63,"C_EGD_796","Counter-magic","LEM","07_19_02_12:55:17","LEM","07_19_02_12:55:19"
"CS_LA_64","LA",64,"C_EGD_798","Prayer","LEM","07_23_02_15:45:16","LEM","07_23_02_15:45:23"
"CS_LA_65","LA",65,"C_EGD_142","Appeasement","LEM","07_26_02_13:11:57","LEM","07_26_02_13:11:59"
"CS_LA_66","LA",66,"C_EGD_323","Appeasement","LEM","07_30_02_10:51:38","LEM","07_30_02_10:51:39"
"CS_LA_67","LA",67,"C_EGD_782","Appeasement","LEM","08_01_02_10:39:34","LEM","08_01_02_10:39:36"
"CS_LA_68","LA",68,"C_EGD_587","Prayer","LEM","08_28_02_11:04:51","LEM","08_28_02_11:04:54"
"CS_LA_69","LA",69,"C_EGD_587","Counter-magic","LEM","08_28_02_11:04:54","LEM","08_28_02_11:05:02"
"CS_LA_7","LA",7,"C_EGD_385","Appeasement","LEM","06_29_01_10:38:01","LEM","06_29_01_10:38:02"
"CS_LA_70","LA",70,"C_LA_3135","Appeasement","LEM","09_12_02_12:34:01","LEM","09_12_02_12:34:05"
"CS_LA_71","LA",71,"C_JO_2887","Scratching","LEM","10_11_02_12:14:27","LEM","10_11_02_12:14:28"
"CS_LA_72","LA",72,"C_LA_2636","Counter-magic","LEM","10_29_02_16:23:15","LEM","10_29_02_16:23:16"
"CS_LA_73","LA",73,"C_EGD_2476","Appeasement","LEM","11_06_02_10:58:45","LEM","11_06_02_10:58:46"
"CS_LA_74","LA",74,"C_EGD_1225","Counter-magic","LEM","11_18_02_16:04:30","LEM","11_18_02_16:04:31"
"CS_LA_8","LA",8,"C_EGD_402","Appeasement","LEM","07_02_01_13:37:00","LEM","07_02_01_13:37:02"
"CS_LA_9","LA",9,"C_EGD_401","Community_Healer","LEM","07_02_01_16:21:53","LEM","07_02_01_16:21:55"
