ImprisonRef,ImprisonSystemId,ImprisonID,Trialref,CentralTrialImprison,Imprisondate,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"IM_JO_10","JO",10,"T_JO_78",0,,,"Tolbooth","Haddington",0,,"jhm","06_07_01_16:20:29","LEM","10_28_02_12:45:55"
"IM_JO_11","JO",11,"T_JO_79",0,,,"Tolbooth","Haddington",0,,"jhm","06_08_01_09:24:01","LEM","10_28_02_12:46:18"
"IM_JO_12","JO",12,"T_JO_80",0,,,"Tolbooth","Haddington",0,,"jhm","06_08_01_09:41:37","LEM","10_28_02_12:46:29"
"IM_JO_127","JO",127,"T_JO_416",1,,,"Tolbooth","Canongate",0,"Released","jhm","07_16_01_12:22:16","jhm","07_16_01_12:22:42"
"IM_JO_128","JO",128,"T_JO_417",0,,,"Tolbooth","Stirling",0,,"jhm","07_16_01_12:44:06","LEM","10_28_02_12:58:03"
"IM_JO_129","JO",129,"T_JO_420",0,"3_1659","03_01_59_00:00:00","Tolbooth","Stirling",0,,"jhm","07_16_01_14:53:27","jhm","07_16_01_14:53:43"
"IM_JO_13","JO",13,"T_JO_81",0,"1630","06_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_08_01_09:59:16","jhm","06_08_01_09:59:30"
"IM_JO_130","JO",130,"T_JO_422",0,"3_1659","03_01_59_00:00:00","Tolbooth","Stirling",0,,"jhm","07_16_01_15:12:37","jhm","07_16_01_15:12:53"
"IM_JO_131","JO",131,"T_JO_433",0,,,,"Dalkeith",0,,"jhm","07_17_01_15:52:15","jhm","10_18_02_10:32:40"
"IM_JO_14","JO",14,"T_JO_82",0,,,"Tolbooth","Haddington",0,"Released","jhm","06_08_01_14:24:19","LEM","10_28_02_12:46:45"
"IM_JO_141","JO",141,"T_LA_234",0,"9_8_1615","08_09_15_00:00:00","Tolbooth","Linlithgow",0,,"jhm","07_23_01_13:08:25","jhm","07_23_01_13:16:52"
"IM_JO_142","JO",142,"T_JO_511",0,,,,,0,,"jhm","07_23_01_13:32:32","jhm","10_11_02_16:52:05"
"IM_JO_143","JO",143,"T_LA_240",0,"26_3_1617","03_26_17_00:00:00",,,0,,"jhm","07_23_01_15:05:52","jhm","07_23_01_15:06:25"
"IM_JO_144","JO",144,"T_LA_239",0,"3_1617","03_01_17_00:00:00",,,0,,"jhm","07_23_01_15:10:13","jhm","07_23_01_15:10:20"
"IM_JO_145","JO",145,"T_LA_238",0,"3_1617","03_01_17_00:00:00",,,0,,"jhm","07_23_01_15:11:16","jhm","07_23_01_15:11:20"
"IM_JO_146","JO",146,"T_JO_513",0,,,,,0,,"jhm","07_24_01_10:24:22","jhm","10_11_02_16:52:45"
"IM_JO_147","JO",147,"T_JO_515",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_12:28:57","jhm","07_24_01_12:36:55"
"IM_JO_148","JO",148,"T_JO_517",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_12:57:40","jhm","07_24_01_12:57:51"
"IM_JO_149","JO",149,"T_JO_518",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:03:20","jhm","07_24_01_13:03:31"
"IM_JO_15","JO",15,"T_JO_86",0,"1_4_1630","04_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_12_01_09:44:21","jhm","06_12_01_09:44:44"
"IM_JO_150","JO",150,"T_JO_519",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:08:29","jhm","07_24_01_13:08:41"
"IM_JO_151","JO",151,"T_JO_520",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:12:57","jhm","07_24_01_13:13:11"
"IM_JO_152","JO",152,"T_JO_521",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:16:13","jhm","07_24_01_13:16:21"
"IM_JO_153","JO",153,"T_JO_522",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:21:13","jhm","07_24_01_13:21:22"
"IM_JO_154","JO",154,"T_JO_523",0,"3_1644","03_01_44_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_14:34:40","jhm","07_24_01_14:34:53"
"IM_JO_155","JO",155,"T_JO_529",0,,,,"Falkirk",0,,"jhm","07_24_01_15:31:02","jhm","10_11_02_16:53:10"
"IM_JO_156","JO",156,"T_JO_539",0,"1_4_1644","04_01_44_00:00:00","Tolbooth","Queensferry",0,"Released","jhm","07_26_01_15:06:30","jhm","07_26_01_15:23:45"
"IM_JO_157","JO",157,"T_JO_573",0,,,,"Peebles",0,,"jhm","07_30_01_11:38:56","jhm","10_11_02_16:53:29"
"IM_JO_158","JO",158,"T_JO_574",0,"17_5_1649","05_17_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_12:07:08","jhm","07_31_01_12:07:28"
"IM_JO_159","JO",159,"T_JO_575",0,"6_1649","06_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_12:40:35","jhm","08_02_01_14:04:28"
"IM_JO_16","JO",16,"T_JO_87",0,"4_1630","04_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_12_01_10:03:53","jhm","06_12_01_10:04:08"
"IM_JO_160","JO",160,"T_JO_577",0,"10_1649","10_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_14:42:48","jhm","07_31_01_14:42:56"
"IM_JO_161","JO",161,"T_JO_579",0,"10_1649","10_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_15:04:23","jhm","07_31_01_15:04:33"
"IM_JO_162","JO",162,"T_JO_580",0,"10_1649","10_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_15:18:09","jhm","07_31_01_15:18:15"
"IM_JO_163","JO",163,"T_JO_582",0,"10_1649","10_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_15:30:34","jhm","07_31_01_15:30:41"
"IM_JO_164","JO",164,"T_JO_584",0,"10_1649","10_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_15:49:28","jhm","07_31_01_15:49:35"
"IM_JO_165","JO",165,"T_JO_590",0,"11_1649","11_01_49_00:00:00",,"Peebles",0,,"jhm","08_01_01_11:02:28","jhm","08_01_01_11:02:51"
"IM_JO_166","JO",166,"T_JO_591",0,,,,"Peebles",0,,"jhm","08_01_01_11:11:43","jhm","10_11_02_16:53:34"
"IM_JO_167","JO",167,"T_JO_592",0,"6_1704","06_01_04_00:00:00",,"Pittenweem",0,"Released","jhm","08_02_01_15:44:11","jhm","08_02_02_15:38:10"
"IM_JO_168","JO",168,"T_JO_595",0,"14_5_1688","05_14_88_00:00:00","Tolbooth","Dunbar",0,,"jhm","08_15_01_12:44:35","jhm","08_16_01_09:19:30"
"IM_JO_169","JO",169,"T_JO_597",0,"3_1682","03_01_82_00:00:00","Tolbooth","Ayr",0,"Moved","jhm","08_16_01_11:20:22","jhm","08_16_01_11:21:00"
"IM_JO_17","JO",17,"T_JO_88",0,"4_1630","04_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_12_01_10:19:35","jhm","06_12_01_10:19:50"
"IM_JO_170","JO",170,"T_JO_598",0,"9_7_1678","07_09_78_00:00:00","Tolbooth","Prestonpans",0,"Released","jhm","08_16_01_11:47:23","jhm","08_16_01_11:49:49"
"IM_JO_171","JO",171,"T_JO_599",0,"10_1678","10_01_78_00:00:00",,"Loanhead_of_Lasswade",0,,"jhm","08_16_01_12:03:40","jhm","08_16_01_12:27:36"
"IM_JO_172","JO",172,"T_JO_600",0,"10_1678","10_01_78_00:00:00",,"Loanhead_of_Lasswade",0,,"jhm","08_16_01_12:15:53","jhm","08_16_01_12:16:37"
"IM_JO_173","JO",173,"T_JO_601",0,"10_1678","10_01_78_00:00:00",,"Loanhead_of_Lasswade",0,,"jhm","08_16_01_12:19:52","jhm","08_16_01_12:20:06"
"IM_JO_174","JO",174,"T_JO_602",0,"10_1678","10_01_78_00:00:00",,"Loanhead_of_Lasswade",0,,"jhm","08_16_01_12:24:18","jhm","08_16_01_12:24:30"
"IM_JO_175","JO",175,"T_JO_603",0,"11_1679","11_01_79_00:00:00","Tolbooth","Bo'ness",0,,"jhm","08_16_01_13:55:57","jhm","08_16_01_13:56:23"
"IM_JO_176","JO",176,"T_JO_604",0,"11_1679","11_01_79_00:00:00","Tolbooth","Bo'ness",0,,"jhm","08_16_01_14:12:20","jhm","08_16_01_14:12:29"
"IM_JO_177","JO",177,"T_JO_605",0,"11_1679","11_01_79_00:00:00","Tolbooth","Bo'ness",0,,"jhm","08_16_01_14:16:58","jhm","08_16_01_14:17:09"
"IM_JO_178","JO",178,"T_JO_606",0,"11_1679","11_01_79_00:00:00","Tolbooth","Bo'ness",0,,"jhm","08_16_01_14:22:07","jhm","08_16_01_14:22:16"
"IM_JO_179","JO",179,"T_JO_607",0,"11_1679","11_01_79_00:00:00","Tolbooth","Bo'ness",0,,"jhm","08_16_01_14:27:19","jhm","08_16_01_14:27:29"
"IM_JO_18","JO",18,"T_JO_91",0,,,"Castle","Dirleton",0,,"jhm","06_13_01_10:26:04","LEM","10_28_02_12:54:48"
"IM_JO_180","JO",180,"T_JO_608",0,"11_1679","11_01_79_00:00:00","Tolbooth","Bo'ness",0,,"jhm","08_16_01_14:31:32","jhm","08_16_01_14:31:40"
"IM_JO_181","JO",181,"T_JO_613",0,"3_1679","03_01_79_00:00:00","Tolbooth","Canongate",0,"Released","jhm","08_16_01_16:01:35","jhm","08_16_01_16:01:51"
"IM_JO_182","JO",182,"T_JO_615",0,"1_1677","01_01_77_00:00:00","Tolbooth","Paisley",0,"Moved","jhm","08_17_01_09:31:14","jhm","08_17_01_10:19:07"
"IM_JO_183","JO",183,"T_JO_616",0,"1_1677","01_01_77_00:00:00","Tolbooth","Paisley",0,,"jhm","08_17_01_09:41:39","LEM","01_16_02_10:58:29"
"IM_JO_184","JO",184,"T_JO_614",0,"1_1677","01_01_77_00:00:00",,,0,,"jhm","08_17_01_09:44:27","jhm","08_17_01_09:57:44"
"IM_JO_185","JO",185,"T_JO_617",0,"1_1677","01_01_77_00:00:00","Tolbooth","Paisley",0,,"jhm","08_17_01_09:52:07","LEM","01_16_02_12:09:26"
"IM_JO_186","JO",186,"T_JO_618",0,"1_1677","01_01_77_00:00:00","Tolbooth","Paisley",0,,"jhm","08_17_01_10:00:34","LEM","01_16_02_12:26:30"
"IM_JO_187","JO",187,"T_JO_619",0,"2_1677","02_01_77_00:00:00",,,0,,"jhm","08_17_01_10:11:48","jhm","08_17_01_10:11:52"
"IM_JO_188","JO",188,"T_JO_615",0,"4_1677","04_01_77_00:00:00","Tolbooth","Glasgow",0,,"jhm","08_17_01_10:18:39","jhm","08_17_01_10:18:57"
"IM_JO_189","JO",189,"T_JO_620",0,,,"Tolbooth","Haddington",0,,"jhm","08_17_01_10:33:55","jhm","10_11_02_16:54:07"
"IM_JO_19","JO",19,"T_JO_92",0,"6_1649","06_01_49_00:00:00",,"Dirleton",0,,"jhm","06_13_01_10:48:49","jhm","10_11_02_16:41:10"
"IM_JO_190","JO",190,"T_JO_621",0,"6_1677","06_01_77_00:00:00","Tolbooth","Dumbarton",0,,"jhm","08_17_01_11:32:07","jhm","08_17_01_11:32:21"
"IM_JO_191","JO",191,"T_JO_622",0,"6_1677","06_01_77_00:00:00","Tolbooth","Dumbarton",0,,"jhm","08_17_01_11:36:56","jhm","08_17_01_11:37:07"
"IM_JO_192","JO",192,"T_JO_623",0,"6_1677","06_01_77_00:00:00","Tolbooth","Dumbarton",0,,"jhm","08_17_01_11:40:15","jhm","08_17_01_11:40:26"
"IM_JO_193","JO",193,"T_JO_624",0,"6_1677","06_01_77_00:00:00","Tolbooth","Dumbarton",0,,"jhm","08_17_01_11:43:32","jhm","08_17_01_11:43:44"
"IM_JO_194","JO",194,"T_JO_625",0,"6_1677","06_01_77_00:00:00","Tolbooth","Dumbarton",0,,"jhm","08_17_01_11:46:24","jhm","08_17_01_11:46:33"
"IM_JO_195","JO",195,"T_JO_626",0,"4_1677","04_01_77_00:00:00","Tolbooth","Stirling",0,,"jhm","08_17_01_12:02:05","jhm","08_17_01_12:02:17"
"IM_JO_196","JO",196,"T_JO_627",0,"4_1677","04_01_77_00:00:00","Tolbooth","Stirling",0,,"jhm","08_17_01_12:27:40","jhm","08_17_01_12:27:49"
"IM_JO_197","JO",197,"T_JO_628",0,"4_1677","04_01_77_00:00:00","Tolbooth","Stirling",0,,"jhm","08_17_01_12:36:48","jhm","08_17_01_12:37:01"
"IM_JO_198","JO",198,"T_JO_629",0,"4_1677","04_01_77_00:00:00","Tolbooth","Stirling",0,,"jhm","08_17_01_12:43:54","jhm","08_17_01_12:44:05"
"IM_JO_199","JO",199,"T_JO_630",0,"5_1677","05_01_77_00:00:00","Tolbooth","Haddington",0,,"jhm","08_17_01_12:54:15","jhm","08_17_01_12:54:32"
"IM_JO_20","JO",20,"T_JO_93",0,,,,"Dirleton",0,,"jhm","06_13_01_12:01:16","LEM","10_28_02_12:54:28"
"IM_JO_200","JO",200,"T_JO_631",0,"5_1678","05_01_78_00:00:00","Tolbooth","Prestonpans",0,,"jhm","08_17_01_13:13:49","jhm","08_17_01_13:14:08"
"IM_JO_201","JO",201,"T_JO_632",0,"5_1678","05_01_78_00:00:00","Tolbooth","Prestonpans",0,,"jhm","08_17_01_13:21:03","jhm","08_17_01_13:21:12"
"IM_JO_202","JO",202,"T_JO_633",0,"1_1673","01_01_73_00:00:00","Tolbooth","Scalloway",0,,"jhm","08_17_01_15:00:59","jhm","08_17_01_15:01:13"
"IM_JO_203","JO",203,"T_JO_634",0,"1_1673","01_01_73_00:00:00","Tolbooth","Scalloway",0,,"jhm","08_17_01_15:06:04","jhm","08_17_01_15:06:13"
"IM_JO_204","JO",204,"T_JO_637",0,"1_1673","01_01_73_00:00:00","Tolbooth","Scalloway",0,,"jhm","08_29_01_09:41:21","jhm","08_29_01_09:41:35"
"IM_JO_205","JO",205,"T_JO_638",0,"1_1673","01_01_73_00:00:00","Tolbooth","Scalloway",0,,"jhm","08_29_01_10:00:48","jhm","08_29_01_10:00:58"
"IM_JO_206","JO",206,"T_JO_640",0,"4_1669","04_01_69_00:00:00","Tolbooth","Duns",0,,"jhm","08_29_01_15:02:32","jhm","08_29_01_15:02:46"
"IM_JO_207","JO",207,"T_JO_641",0,"7_1669","07_01_69_00:00:00",,"Aberdeen",0,,"jhm","08_29_01_16:21:13","jhm","08_29_01_16:21:23"
"IM_JO_208","JO",208,"T_JO_642",0,"7_1669","07_01_69_00:00:00",,"Aberdeen",0,,"jhm","08_29_01_16:26:19","jhm","08_29_01_16:26:35"
"IM_JO_209","JO",209,"T_JO_643",0,"7_1669","07_01_69_00:00:00",,"Aberdeen",0,,"jhm","08_30_01_09:13:05","jhm","08_30_01_09:13:15"
"IM_JO_21","JO",21,"T_JO_94",0,"9_6_1649","06_09_49_00:00:00",,"Haddington",0,,"jhm","06_13_01_12:33:31","jhm","06_13_01_12:33:58"
"IM_JO_210","JO",210,"T_JO_644",0,"7_1669","07_01_69_00:00:00",,"Aberdeen",0,,"jhm","08_30_01_09:21:03","jhm","08_30_01_09:21:17"
"IM_JO_211","JO",211,"T_JO_645",0,"9_1669","09_01_69_00:00:00","Castle","Tioram",0,,"jhm","08_30_01_10:31:34","jhm","08_30_01_10:31:49"
"IM_JO_212","JO",212,"T_JO_646",0,"8_1669","08_01_69_00:00:00","Castle","Tioram",0,,"jhm","08_30_01_10:42:09","jhm","08_30_01_10:42:19"
"IM_JO_213","JO",213,"T_JO_647",0,,,"Castle","Tioram",0,,"jhm","08_30_01_10:46:52","jhm","10_11_02_16:54:13"
"IM_JO_214","JO",214,"T_JO_648",0,"11_1669","11_01_69_00:00:00","Tolbooth","Dundee",0,,"jhm","08_30_01_10:50:52","jhm","08_30_01_10:51:04"
"IM_JO_215","JO",215,"T_JO_649",0,"5_1670","05_01_70_00:00:00","Tolbooth","Lanark",0,,"jhm","08_30_01_11:13:58","jhm","08_30_01_11:21:05"
"IM_JO_216","JO",216,"T_JO_769",0,"1665","06_01_65_00:00:00","Tolbooth","Stirling",0,"Released","jhm","08_31_01_13:06:36","jhm","10_19_01_09:24:47"
"IM_JO_217","JO",217,"T_JO_769",1,"12_1664","12_01_64_00:00:00","Tolbooth","Edinburgh",0,"Moved","jhm","08_31_01_13:07:00","jhm","10_19_01_09:25:14"
"IM_JO_218","JO",218,"T_JO_770",0,,,,"Forfar",0,,"jhm","08_31_01_13:10:44","LEM","10_28_02_12:59:55"
"IM_JO_219","JO",219,"T_JO_772",0,"5_1666","05_01_66_00:00:00","Tolbooth","Anstruther_Wester",0,,"jhm","08_31_01_14:35:59","jhm","08_31_01_14:36:14"
"IM_JO_220","JO",220,"T_JO_773",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:06:45","jhm","08_31_01_15:06:56"
"IM_JO_221","JO",221,"T_JO_774",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:16:09","jhm","08_31_01_15:16:20"
"IM_JO_222","JO",222,"T_JO_775",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:19:41","jhm","08_31_01_15:19:52"
"IM_JO_223","JO",223,"T_JO_776",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:22:57","jhm","08_31_01_15:23:07"
"IM_JO_224","JO",224,"T_JO_777",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:25:57","jhm","08_31_01_15:26:06"
"IM_JO_225","JO",225,"T_JO_778",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:35:33","jhm","08_31_01_15:35:44"
"IM_JO_226","JO",226,"T_JO_779",0,"9_1666","09_01_66_00:00:00","Tolbooth","Torryburn",0,,"jhm","08_31_01_15:38:25","jhm","08_31_01_15:38:35"
"IM_JO_227","JO",227,"T_JO_780",0,"1_1667","01_01_67_00:00:00","Tolbooth","St_Andrews",0,,"jhm","08_31_01_15:45:06","jhm","08_31_01_15:45:18"
"IM_JO_228","JO",228,"T_JO_769",0,"1664","06_01_64_00:00:00",,"Dunblane",0,"Moved","jhm","08_31_01_16:05:14","jhm","08_31_01_16:05:41"
"IM_JO_229","JO",229,"T_JO_782",0,,,,"Jedburgh",0,,"jhm","09_03_01_11:03:26","jhm","10_11_02_16:18:30"
"IM_JO_23","JO",23,"T_JO_102",0,,,,"Haddington",0,,"jhm","06_14_01_14:43:33","LEM","10_28_02_12:53:58"
"IM_JO_230","JO",230,"T_JO_783",0,,,,"Jedburgh",0,,"jhm","09_03_01_11:09:48","jhm","10_11_02_16:18:49"
"IM_JO_231","JO",231,"T_JO_784",0,,,,"Jedburgh",0,,"jhm","09_03_01_11:13:45","jhm","10_11_02_16:18:55"
"IM_JO_232","JO",232,"T_JO_788",0,,,,"Tyninghame",0,,"jhm","09_04_01_14:52:11","jhm","10_18_02_10:54:48"
"IM_JO_233","JO",233,"T_JO_789",0,,,,"Tyninghame",0,,"jhm","09_04_01_15:06:52","jhm","10_18_02_11:02:37"
"IM_JO_235","JO",235,"T_JO_812",0,,,,,0,,"jhm","09_10_01_13:25:42","LEM","10_28_02_12:59:13"
"IM_JO_236","JO",236,"T_JO_813",0,,,,,0,,"jhm","09_10_01_13:30:28","LEM","10_28_02_12:58:20"
"IM_JO_237","JO",237,"T_JO_814",0,"9_1661","09_01_61_00:00:00",,,0,,"jhm","09_10_01_13:35:07","jhm","09_10_01_13:35:10"
"IM_JO_238","JO",238,"T_JO_815",0,"9_1661","09_01_61_00:00:00",,,0,,"jhm","09_10_01_13:40:30","jhm","09_10_01_13:40:35"
"IM_JO_239","JO",239,"T_JO_816",0,"9_1661","09_01_61_00:00:00",,,0,,"jhm","09_10_01_13:44:05","jhm","09_10_01_13:44:08"
"IM_JO_24","JO",24,"T_JO_104",0,,,,"Haddington",0,,"jhm","06_14_01_15:01:22","LEM","10_28_02_12:53:40"
"IM_JO_240","JO",240,"T_JO_817",0,"9_1661","09_01_61_00:00:00",,,0,,"jhm","09_10_01_13:48:26","jhm","09_10_01_13:48:29"
"IM_JO_241","JO",241,"T_JO_818",0,"9_1661","09_01_61_00:00:00",,,0,,"jhm","09_10_01_13:51:49","jhm","09_10_01_13:51:52"
"IM_JO_243","JO",243,"T_LA_402",0,"9_1661","09_01_61_00:00:00",,,0,"Released","jhm","09_10_01_14:15:08","jhm","09_24_01_14:00:29"
"IM_JO_244","JO",244,"T_JO_819",0,"9_1661","09_01_61_00:00:00",,,0,,"jhm","09_10_01_14:27:29","jhm","09_10_01_14:27:32"
"IM_JO_245","JO",245,"T_JO_830",0,,,"Tolbooth","Duns",0,"Released","jhm","09_12_01_16:07:59","LEM","10_28_02_12:59:29"
"IM_JO_246","JO",246,"T_JO_421",0,"3_1659","03_01_59_00:00:00","Tolbooth","Stirling",0,,"jhm","09_12_01_16:12:34","jhm","09_12_01_16:18:20"
"IM_JO_247","JO",247,"T_JO_419",0,"3_1659","03_01_59_00:00:00","Tolbooth","Stirling",0,,"jhm","09_12_01_16:14:52","jhm","09_12_01_16:17:25"
"IM_JO_248","JO",248,"T_JO_867",0,,,,"Falkland",0,"Released","jhm","09_24_01_14:11:24","jhm","10_11_02_16:54:50"
"IM_JO_249","JO",249,"T_JO_868",0,,,,"Falkland",0,"Released","jhm","09_24_01_14:20:20","jhm","10_11_02_16:55:08"
"IM_JO_25","JO",25,"T_JO_105",0,"7_1649","07_01_49_00:00:00",,"Haddington",0,,"jhm","06_14_01_15:14:22","jhm","06_14_01_15:14:29"
"IM_JO_250","JO",250,"T_JO_880",0,,,,"Lasswade",0,"Released","jhm","10_03_01_13:01:04","jhm","10_11_02_16:55:24"
"IM_JO_251","JO",251,"T_JO_881",0,,,"Tolbooth","Ayton",0,"Released","jhm","10_03_01_13:12:54","jhm","10_11_02_16:55:41"
"IM_JO_252","JO",252,"T_JO_896",0,,,"Tolbooth","Duns",0,"Released","jhm","10_03_01_16:03:13","jhm","10_11_02_16:55:58"
"IM_JO_253","JO",253,"T_JO_831",0,,,,"Rhynd",0,,"jhm","10_04_01_09:19:13","jhm","10_18_02_11:02:18"
"IM_JO_254","JO",254,"T_JO_832",0,,,,"Rhynd",0,,"jhm","10_04_01_09:30:35","jhm","10_18_02_11:01:51"
"IM_JO_255","JO",255,"T_JO_833",0,,,,"Rhynd",0,,"jhm","10_04_01_09:37:29","jhm","10_18_02_11:01:31"
"IM_JO_256","JO",256,"T_JO_834",0,,,,"Rhynd",0,,"jhm","10_04_01_09:43:24","jhm","10_18_02_11:01:12"
"IM_JO_257","JO",257,"T_JO_897",0,,,,"Rhynd",0,"Moved","jhm","10_04_01_09:55:46","LEM","10_28_02_13:01:19"
"IM_JO_258","JO",258,"T_JO_898",0,,,,"Rhynd",0,"Moved","jhm","10_04_01_10:03:54","LEM","10_28_02_13:00:46"
"IM_JO_259","JO",259,"T_JO_899",0,,,,"Rhynd",0,"Moved","jhm","10_04_01_10:10:52","LEM","10_28_02_13:00:30"
"IM_JO_26","JO",26,"T_JO_107",0,,,,"Haddington",0,,"jhm","06_15_01_09:23:24","LEM","10_28_02_12:55:05"
"IM_JO_260","JO",260,"T_JO_900",0,,,,"Rhynd",0,"Moved","jhm","10_04_01_10:17:33","LEM","10_28_02_13:01:04"
"IM_JO_261","JO",261,"T_JO_901",0,,,,"Rhynd",0,"Moved","jhm","10_04_01_10:26:13","LEM","10_28_02_13:00:12"
"IM_JO_262","JO",262,"T_JO_830",0,,,"Tolbooth","Eyemouth",0,"Released","jhm","10_04_01_10:56:35","LEM","10_28_02_12:59:43"
"IM_JO_263","JO",263,"T_JO_905",0,,,,"Eyemouth",0,"Released","jhm","10_04_01_11:38:45","jhm","10_11_02_16:56:15"
"IM_JO_264","JO",264,"T_JO_939",0,,,,,0,,"jhm","10_09_01_10:42:19","LEM","10_28_02_13:03:27"
"IM_JO_265","JO",265,"T_JO_940",0,,,,,0,,"jhm","10_09_01_10:46:51","LEM","10_28_02_13:03:14"
"IM_JO_266","JO",266,"T_JO_941",0,,,,,0,,"jhm","10_09_01_10:50:46","LEM","10_28_02_13:03:03"
"IM_JO_267","JO",267,"T_JO_942",0,,,,,0,,"jhm","10_09_01_10:54:25","LEM","10_28_02_13:02:49"
"IM_JO_268","JO",268,"T_JO_943",0,"5_1662","05_01_62_00:00:00",,,0,,"jhm","10_09_01_10:58:43","jhm","10_09_01_10:58:47"
"IM_JO_269","JO",269,"T_JO_944",0,,,,,0,,"jhm","10_09_01_11:51:06","LEM","10_28_02_13:01:37"
"IM_JO_27","JO",27,"T_JO_108",0,,,,"Haddington",0,,"jhm","06_15_01_09:39:57","LEM","10_28_02_12:54:11"
"IM_JO_270","JO",270,"T_JO_945",0,,,,,0,,"jhm","10_09_01_11:56:33","LEM","10_28_02_13:02:08"
"IM_JO_271","JO",271,"T_JO_946",0,,,,,0,,"jhm","10_09_01_12:00:15","LEM","10_28_02_13:01:52"
"IM_JO_272","JO",272,"T_JO_947",0,,,,,0,,"jhm","10_09_01_12:06:32","jhm","10_18_02_11:42:34"
"IM_JO_273","JO",273,"T_JO_951",0,,,,"Lauder",0,,"jhm","10_09_01_13:03:55","LEM","10_28_02_13:04:29"
"IM_JO_274","JO",274,"T_JO_952",0,,,,"Lauder",0,,"jhm","10_09_01_13:15:05","LEM","10_28_02_13:04:55"
"IM_JO_275","JO",275,"T_JO_953",0,,,,"Lauder",0,,"jhm","10_09_01_13:28:09","LEM","10_28_02_13:04:43"
