MoveRef,MoveSystemId,MoveID,Trialref,Moveto,Moveexists,Movedate,Movedate_as_date,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"HLA_JO_10","JO",10,"T_JO_342","Bishop",1,"17_5_1632","05_17_32_00:00:00","jhm","07_04_01_13:35:08","jhm","07_04_01_13:35:18"
"HLA_JO_100","JO",100,"T_JO_1689","Presbytery",1,"22_2_1603","02_22_03_00:00:00","jhm","08_02_02_11:37:27","jhm","08_02_02_11:38:18"
"HLA_JO_101","JO",101,"T_JO_1690","Presbytery",1,"22_12_1603","12_22_03_00:00:00","jhm","08_02_02_11:50:21","jhm","08_02_02_11:50:34"
"HLA_JO_102","JO",102,"T_JO_1691","Presbytery",1,"2_12_1603","12_02_03_00:00:00","jhm","08_02_02_11:53:29","jhm","08_02_02_11:53:42"
"HLA_JO_103","JO",103,"T_JO_1692","Presbytery",1,"15_12_1603","12_15_03_00:00:00","jhm","08_02_02_11:55:54","jhm","08_02_02_11:57:56"
"HLA_JO_104","JO",104,"T_JO_1693","Presbytery",1,"12_1_1604","01_12_04_00:00:00","jhm","08_02_02_12:02:54","jhm","08_02_02_12:03:02"
"HLA_JO_105","JO",105,"T_JO_1694","Presbytery",1,"21_7_1675","07_21_75_00:00:00","jhm","08_02_02_14:12:56","jhm","08_02_02_14:13:08"
"HLA_JO_106","JO",106,"T_JO_1694","Local_magistrate",1,"15_9_1675","09_15_75_00:00:00","jhm","08_02_02_14:13:08","jhm","08_02_02_14:13:46"
"HLA_JO_11","JO",11,"T_JO_343","Bishop",1,"24_1_1633","01_24_33_00:00:00","jhm","07_04_01_13:46:56","jhm","07_04_01_13:47:09"
"HLA_JO_118","JO",118,"T_JO_1951","Presbytery",1,"12_1663","12_01_63_00:00:00","jhm","09_04_02_10:02:23","jhm","09_04_02_10:02:36"
"HLA_JO_119","JO",119,"T_JO_1952","Presbytery",1,"12_1663","12_01_63_00:00:00","jhm","09_04_02_10:08:20","jhm","09_04_02_10:08:27"
"HLA_JO_12","JO",12,"T_JO_369","Synod",1,"6_11_1649","11_06_49_00:00:00","jhm","07_09_01_10:51:40","jhm","07_09_01_10:52:05"
"HLA_JO_13","JO",13,"T_JO_433","Presbytery",1,"10_9_1657","09_10_57_00:00:00","jhm","07_17_01_15:27:30","jhm","07_17_01_15:27:44"
"HLA_JO_14","JO",14,"T_JO_433","Bailie",1,"16_11_1657","11_16_57_00:00:00","jhm","07_17_01_15:55:17","jhm","11_13_02_14:13:24"
"HLA_JO_15","JO",15,"T_JO_510","Presbytery",1,"23_12_1612","12_23_12_00:00:00","jhm","07_23_01_12:16:32","jhm","07_23_01_12:16:45"
"HLA_JO_16","JO",16,"T_JO_511","Local_sheriff",1,"10_1_1616","01_10_16_00:00:00","jhm","07_23_01_13:42:36","jhm","07_23_01_13:43:00"
"HLA_JO_17","JO",17,"T_LA_354","Bailie",1,"5_6_1622","06_05_22_00:00:00","jhm","07_23_01_15:43:01","jhm","11_13_02_14:13:38"
"HLA_JO_18","JO",18,"T_LA_353","Bailie",1,"5_6_1622","06_05_22_00:00:00","jhm","07_23_01_15:48:35","jhm","11_13_02_14:13:53"
"HLA_JO_19","JO",19,"T_JO_574","Burgh_Council",1,"17_5_1649","05_17_49_00:00:00","jhm","07_31_01_12:08:50","jhm","07_31_01_12:09:17"
"HLA_JO_20","JO",20,"T_JO_593","Presbytery",1,"5_1692","05_01_92_00:00:00","jhm","08_13_01_11:27:34","jhm","08_13_01_11:28:40"
"HLA_JO_21","JO",21,"T_JO_639","Local_sheriff",1,"31_12_1661","12_31_61_00:00:00","jhm","08_29_01_11:00:56","jhm","08_29_01_11:01:17"
"HLA_JO_22","JO",22,"T_JO_795","Local_magistrate",1,"3_10_1649","10_03_49_00:00:00","jhm","09_06_01_12:40:15","jhm","09_06_01_12:40:40"
"HLA_JO_220","JO",220,"T_JO_1468","Archbishop",1,,,"jhm","09_17_02_11:51:15","jhm","09_17_02_11:51:23"
"HLA_JO_221","JO",221,"T_LA_154","Archbishop",1,,,"jhm","10_02_02_14:41:29","jhm","10_02_02_14:41:32"
"HLA_JO_222","JO",222,"T_LA_1096","Presbytery",1,,,"jhm","10_03_02_16:05:49","jhm","10_03_02_16:05:53"
"HLA_JO_224","JO",224,"T_LA_2001","Presbytery",1,,,"jhm","10_23_02_12:11:32","jhm","10_23_02_12:11:36"
"HLA_JO_225","JO",225,"T_LA_2000","Presbytery",1,,,"jhm","10_23_02_12:14:23","jhm","10_23_02_12:14:26"
"HLA_JO_226","JO",226,"T_LA_1998","Presbytery",1,,,"jhm","10_23_02_12:15:51","jhm","10_23_02_12:15:55"
"HLA_JO_227","JO",227,"T_LA_1999","Presbytery",1,,,"jhm","10_23_02_12:17:38","jhm","10_23_02_12:17:41"
"HLA_JO_228","JO",228,"T_LA_1997","Presbytery",1,,,"jhm","10_23_02_12:19:37","jhm","10_23_02_12:19:41"
"HLA_JO_229","JO",229,"T_JO_366","Presbytery",1,,,"jhm","10_23_02_12:38:54","jhm","10_23_02_12:38:59"
"HLA_JO_23","JO",23,"T_JO_796","Local_laird",1,"4_1647","04_01_47_00:00:00","jhm","09_07_01_11:42:48","jhm","09_07_01_12:08:42"
"HLA_JO_230","JO",230,"T_LA_2055","Presbytery",1,,,"jhm","10_23_02_13:58:38","jhm","10_23_02_13:58:43"
"HLA_JO_231","JO",231,"T_JO_538","Presbytery",1,,,"jhm","10_23_02_14:47:16","jhm","10_23_02_14:47:20"
"HLA_JO_232","JO",232,"T_JO_534","Local_laird",1,"27_2_1650","02_27_50_00:00:00","jhm","10_24_02_12:50:10","jhm","10_24_02_12:50:32"
"HLA_JO_233","JO",233,"T_JO_1396","Presbytery",1,,,"jhm","10_25_02_16:39:42","jhm","10_25_02_16:39:47"
"HLA_JO_234","JO",234,"T_JO_1421","Presbytery",1,,,"jhm","10_25_02_17:15:12","jhm","10_25_02_17:15:17"
"HLA_JO_236","JO",236,"T_LA_1565","Justice_of_the_Peace",1,,,"jhm","11_04_02_12:47:55","jhm","11_04_02_12:47:59"
"HLA_JO_24","JO",24,"T_JO_797","Local_laird",1,"4_1647","04_01_47_00:00:00","jhm","09_07_01_12:51:33","jhm","09_07_01_12:51:42"
"HLA_JO_25","JO",25,"T_JO_870","Bailie",1,"24_4_1706","04_24_06_00:00:00","jhm","09_25_01_12:17:49","jhm","11_13_02_14:14:19"
"HLA_JO_26","JO",26,"T_JO_872","Kirk_Session",1,"7_1659","07_01_59_00:00:00","jhm","10_03_01_10:13:26","jhm","10_03_01_10:13:39"
"HLA_JO_27","JO",27,"T_JO_873","Local_sheriff",1,"31_5_1692","05_31_92_00:00:00","jhm","10_03_01_10:27:30","jhm","10_03_01_10:27:56"
"HLA_JO_28","JO",28,"T_JO_966","Local_sheriff",1,"6_3_1700","03_06_00_00:00:00","jhm","10_10_01_15:08:58","jhm","10_10_01_15:10:42"
"HLA_JO_29","JO",29,"T_JO_967","Presbytery",1,"27_2_1705","02_27_05_00:00:00","jhm","10_10_01_15:26:00","jhm","10_10_01_15:26:29"
"HLA_JO_31","JO",31,"T_JO_1077","Local_sheriff",1,"29_1_1706","01_29_06_00:00:00","jhm","10_23_01_10:47:32","jhm","10_23_01_10:47:51"
"HLA_JO_32","JO",32,"T_JO_1135","Local_sheriff",1,"30_11_1698","11_30_98_00:00:00","jhm","12_04_01_15:46:02","jhm","12_04_01_15:46:25"
"HLA_JO_33","JO",33,"T_JO_1137","Burgh_Council",1,"29_1_1650","01_29_50_00:00:00","jhm","12_05_01_13:31:35","jhm","12_05_01_13:32:05"
"HLA_JO_34","JO",34,"T_JO_1138","Burgh_Council",1,"27_11_1649","11_27_49_00:00:00","jhm","12_05_01_13:42:26","jhm","12_05_01_13:44:28"
"HLA_JO_35","JO",35,"T_JO_1139","Local_magistrate",1,"2_7_1650","07_02_50_00:00:00","jhm","12_05_01_13:49:06","jhm","12_05_01_13:50:10"
"HLA_JO_36","JO",36,"T_JO_1140","Local_magistrate",1,"15_4_1650","04_15_50_00:00:00","jhm","12_05_01_13:54:17","jhm","12_05_01_13:54:43"
"HLA_JO_37","JO",37,"T_JO_1144","Local_magistrate",1,"2_7_1650","07_02_50_00:00:00","jhm","12_06_01_10:41:53","jhm","12_06_01_10:42:24"
"HLA_JO_38","JO",38,"T_JO_1168","Local_sheriff",1,"18_2_1696","02_18_96_00:00:00","jhm","12_06_01_14:39:02","jhm","12_06_01_14:39:25"
"HLA_JO_39","JO",39,"T_JO_1182","Bishop",1,"25_5_1637","05_25_37_00:00:00","jhm","01_17_02_13:03:00","jhm","01_17_02_13:03:16"
"HLA_JO_4","JO",4,"T_JO_106","Bound_court",1,"25_7_1649","07_25_49_00:00:00","jhm","06_14_01_16:10:10","jhm","06_14_01_16:10:49"
"HLA_JO_40","JO",40,"T_JO_1257","Synod",1,"12_3_1650","03_12_50_00:00:00","jhm","03_04_02_12:18:44","jhm","03_04_02_12:18:58"
"HLA_JO_41","JO",41,"T_LA_1234","Local_sheriff",1,"12_11_1695","11_12_95_00:00:00","jhm","03_07_02_15:33:38","jhm","03_07_02_15:35:06"
"HLA_JO_42","JO",42,"T_JO_1271","Local_sheriff",1,"2_3_1719","03_02_19_00:00:00","jhm","04_17_02_09:27:56","jhm","04_17_02_09:28:24"
"HLA_JO_43","JO",43,"T_JO_1272","Local_sheriff",1,"2_3_1719","03_02_19_00:00:00","jhm","04_17_02_09:34:01","jhm","04_17_02_09:34:58"
"HLA_JO_44","JO",44,"T_JO_1273","Local_sheriff",1,"2_3_1719","03_02_19_00:00:00","jhm","04_17_02_09:37:47","jhm","04_17_02_09:38:40"
"HLA_JO_45","JO",45,"T_JO_1274","Local_sheriff",1,"2_3_1719","03_02_19_00:00:00","jhm","04_17_02_09:41:35","jhm","04_17_02_09:42:19"
"HLA_JO_46","JO",46,"T_JO_1275","Local_sheriff",1,"2_3_1719","03_02_19_00:00:00","jhm","04_17_02_09:44:54","jhm","04_17_02_09:45:05"
"HLA_JO_47","JO",47,"T_JO_1276","Local_sheriff",1,"2_3_1719","03_02_19_00:00:00","jhm","04_17_02_09:48:32","jhm","04_17_02_09:48:43"
"HLA_JO_48","JO",48,"T_JO_1281","Local_magistrate",1,"30_9_1724","09_30_24_00:00:00","jhm","04_17_02_13:34:18","jhm","04_17_02_13:34:45"
"HLA_JO_49","JO",49,"T_JO_1279","Local_magistrate",1,"6_1708","06_01_08_00:00:00","jhm","04_17_02_13:39:22","jhm","04_17_02_13:40:17"
"HLA_JO_5","JO",5,"T_JO_150","Synod",1,"24_4_1650","04_24_50_00:00:00","jhm","06_18_01_13:33:24","jhm","06_18_01_13:34:06"
"HLA_JO_50","JO",50,"T_JO_1277","Local_magistrate",1,"6_1708","06_01_08_00:00:00","jhm","04_17_02_13:40:20","jhm","04_17_02_13:40:51"
"HLA_JO_51","JO",51,"T_JO_1278","Local_magistrate",1,"6_1708","06_01_08_00:00:00","jhm","04_17_02_13:40:54","jhm","04_17_02_13:41:11"
"HLA_JO_52","JO",52,"T_JO_1280","Local_magistrate",1,"6_1708","06_01_08_00:00:00","jhm","04_17_02_13:41:14","jhm","04_17_02_13:45:52"
"HLA_JO_53","JO",53,"T_JO_1289","Presbytery",1,"27_4_1699","04_27_99_00:00:00","jhm","05_01_02_16:20:58","jhm","05_01_02_16:21:20"
"HLA_JO_54","JO",54,"T_JO_1290","Synod",1,"11_10_1697","10_11_97_00:00:00","jhm","05_01_02_16:40:27","jhm","05_01_02_16:40:43"
"HLA_JO_57","JO",57,"T_JO_1435","Local_magistrate",1,"10_6_1590","06_10_90_00:00:00","jhm","06_27_02_14:40:29","jhm","06_27_02_14:40:45"
"HLA_JO_58","JO",58,"T_JO_1436","Burgh_Council",1,"18_8_1590","08_18_90_00:00:00","jhm","06_27_02_15:29:43","jhm","06_27_02_15:29:58"
"HLA_JO_59","JO",59,"T_JO_1444","Local_sheriff",1,"25_3_1597","03_25_97_00:00:00","jhm","06_28_02_14:42:59","jhm","06_28_02_14:43:17"
"HLA_JO_6","JO",6,"T_JO_146","Synod",1,"1_5_1650","05_01_50_00:00:00","jhm","06_18_01_13:34:52","jhm","06_18_01_13:35:02"
"HLA_JO_60","JO",60,"T_JO_1460","Presbytery",1,"5_1630","05_01_30_00:00:00","jhm","07_02_02_14:00:24","jhm","07_02_02_14:52:13"
"HLA_JO_62","JO",62,"T_JO_1466","Bishop",1,"16_8_1615","08_16_15_00:00:00","jhm","07_03_02_13:44:51","jhm","07_03_02_13:45:11"
"HLA_JO_63","JO",63,"T_JO_1467","Bishop",1,"16_8_1615","08_16_15_00:00:00","jhm","07_03_02_13:49:33","jhm","07_03_02_13:49:42"
"HLA_JO_64","JO",64,"T_JO_1471","Local_magistrate",1,"5_1658","05_01_58_00:00:00","jhm","07_04_02_11:20:40","jhm","07_04_02_11:21:06"
"HLA_JO_65","JO",65,"T_JO_1514","Local_laird",1,"5_1649","05_01_49_00:00:00","jhm","07_11_02_10:30:24","jhm","07_11_02_10:30:43"
"HLA_JO_66","JO",66,"T_JO_1515","Local_laird",1,"6_1649","06_01_49_00:00:00","jhm","07_11_02_11:07:21","jhm","07_11_02_11:07:30"
"HLA_JO_67","JO",67,"T_JO_1534","Local_laird",1,"9_1649","09_01_49_00:00:00","jhm","07_11_02_15:06:16","jhm","07_11_02_15:06:23"
"HLA_JO_68","JO",68,"T_JO_1534","Presbytery",1,"9_1649","09_01_49_00:00:00","jhm","07_11_02_15:06:23","jhm","07_11_02_15:06:34"
"HLA_JO_69","JO",69,"T_JO_1535","Local_magistrate",1,"5_1649","05_01_49_00:00:00","jhm","07_11_02_16:02:49","jhm","07_11_02_16:11:43"
"HLA_JO_7","JO",7,"T_JO_149","Synod",1,"1_5_1650","05_01_50_00:00:00","jhm","06_18_01_13:36:58","jhm","06_18_01_13:37:09"
"HLA_JO_70","JO",70,"T_JO_1538","Synod",1,"30_3_1670","03_30_70_00:00:00","jhm","07_16_02_10:05:32","jhm","07_16_02_10:05:48"
"HLA_JO_71","JO",71,"T_JO_1538","Local_magistrate",1,"24_4_1670","04_24_70_00:00:00","jhm","07_16_02_10:05:48","jhm","07_16_02_10:06:02"
"HLA_JO_72","JO",72,"T_JO_1539","Local_magistrate",1,"4_1597","04_01_97_00:00:00","jhm","07_18_02_09:14:26","jhm","07_18_02_09:14:54"
"HLA_JO_73","JO",73,"T_JO_1540","Local_magistrate",1,"4_1597","04_01_97_00:00:00","jhm","07_18_02_09:40:12","jhm","07_18_02_09:40:26"
"HLA_JO_74","JO",74,"T_JO_1512","Local_magistrate",1,"4_1597","04_01_97_00:00:00","jhm","07_18_02_10:04:21","jhm","07_18_02_10:04:30"
"HLA_JO_76","JO",76,"T_JO_1635","Presbytery",1,"23_7_1649","07_23_49_00:00:00","jhm","07_22_02_12:19:08","jhm","07_22_02_12:19:17"
"HLA_JO_77","JO",77,"T_JO_1636","Presbytery",1,"23_7_1649","07_23_49_00:00:00","jhm","07_22_02_12:24:38","jhm","07_22_02_12:24:55"
"HLA_JO_78","JO",78,"T_JO_1637","Presbytery",1,"26_6_1649","06_26_49_00:00:00","jhm","07_22_02_12:29:46","jhm","07_22_02_12:30:00"
"HLA_JO_79","JO",79,"T_JO_1638","Presbytery",1,"5_12_1649","12_05_49_00:00:00","jhm","07_22_02_12:36:10","jhm","07_22_02_12:37:05"
"HLA_JO_8","JO",8,"T_JO_147","Synod",1,"1_5_1650","05_01_50_00:00:00","jhm","06_18_01_13:38:14","jhm","06_18_01_13:40:10"
"HLA_JO_80","JO",80,"T_JO_1642","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:33:12","jhm","07_22_02_14:33:24"
"HLA_JO_81","JO",81,"T_JO_1643","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:36:39","jhm","07_22_02_14:36:51"
"HLA_JO_82","JO",82,"T_JO_1644","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:41:06","jhm","07_22_02_14:41:14"
"HLA_JO_83","JO",83,"T_JO_1645","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:46:04","jhm","07_22_02_14:46:11"
"HLA_JO_84","JO",84,"T_JO_1646","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:49:19","jhm","07_22_02_14:49:29"
"HLA_JO_85","JO",85,"T_JO_1647","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:51:55","jhm","07_22_02_14:52:03"
"HLA_JO_86","JO",86,"T_JO_1648","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:55:05","jhm","07_22_02_14:55:17"
"HLA_JO_87","JO",87,"T_JO_1649","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_14:57:41","jhm","07_22_02_14:57:58"
"HLA_JO_88","JO",88,"T_JO_1650","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_15:01:42","jhm","07_22_02_15:01:55"
"HLA_JO_89","JO",89,"T_JO_1651","Presbytery",1,"18_11_1649","11_18_49_00:00:00","jhm","07_22_02_15:07:45","jhm","07_22_02_15:07:58"
"HLA_JO_9","JO",9,"T_JO_303","Bishop",1,"27_5_1613","05_27_13_00:00:00","jhm","07_02_01_10:48:38","jhm","07_02_01_10:48:53"
"HLA_JO_90","JO",90,"T_JO_1652","Presbytery",1,"14_12_1649","12_14_49_00:00:00","jhm","07_23_02_11:50:39","jhm","07_23_02_11:50:51"
"HLA_JO_91","JO",91,"T_JO_1191","Local_magistrate",1,"4_3_1647","03_04_47_00:00:00","jhm","08_01_02_12:22:44","jhm","08_01_02_12:23:46"
"HLA_JO_92","JO",92,"T_JO_1191","Provincial_assembly",1,"1_4_1647","04_01_47_00:00:00","jhm","08_01_02_12:31:33","jhm","08_01_02_12:32:18"
"HLA_JO_93","JO",93,"T_JO_1680","Presbytery",1,"14_1_1649","01_14_49_00:00:00","jhm","08_01_02_13:15:37","jhm","08_01_02_13:15:53"
"HLA_JO_94","JO",94,"T_JO_1681","Presbytery",1,"1_1_1649","01_01_49_00:00:00","jhm","08_01_02_13:22:57","jhm","08_01_02_13:23:05"
"HLA_JO_95","JO",95,"T_JO_1687","Presbytery",1,"13_7_1598","07_13_98_00:00:00","jhm","08_02_02_11:00:49","jhm","08_02_02_11:01:42"
"HLA_JO_96","JO",96,"T_JO_1686","Presbytery",1,"28_5_1590","05_28_90_00:00:00","jhm","08_02_02_11:01:49","jhm","08_02_02_11:02:04"
"HLA_JO_97","JO",97,"T_JO_1685","Presbytery",1,"15_3_1592","03_15_92_00:00:00","jhm","08_02_02_11:02:17","jhm","08_02_02_11:02:37"
"HLA_JO_98","JO",98,"T_JO_1684","Presbytery",1,"26_3_1590","03_26_90_00:00:00","jhm","08_02_02_11:02:50","jhm","08_02_02_11:05:52"
"HLA_JO_99","JO",99,"T_JO_1688","Presbytery",1,"22_2_1598","02_22_98_00:00:00","jhm","08_02_02_11:17:14","jhm","08_02_02_11:17:24"
"HLA_LA_1","LA",1,"T_LA_1","Presbytery",1,"22_4_1624","04_22_24_00:00:00","LEM","05_17_01_10:13:19","jhm","10_18_02_15:24:33"
"HLA_LA_107","LA",107,"T_LA_1890","Archbishop",1,,,"LEM","08_26_02_17:10:29","LEM","08_26_02_17:11:24"
"HLA_LA_108","LA",108,"T_LA_1897","Archbishop",1,,,"LEM","08_26_02_18:01:59","LEM","08_26_02_18:02:02"
"HLA_LA_109","LA",109,"T_LA_1896","Archbishop",1,,,"LEM","08_26_02_18:02:39","LEM","08_26_02_18:02:43"
"HLA_LA_110","LA",110,"T_LA_1895","Archbishop",1,,,"LEM","08_26_02_18:02:48","LEM","08_26_02_18:02:50"
"HLA_LA_111","LA",111,"T_LA_1888","Archbishop",1,,,"LEM","08_26_02_18:03:26","LEM","08_26_02_18:03:28"
"HLA_LA_112","LA",112,"T_LA_1886","Archbishop",1,,,"LEM","08_26_02_18:04:13","LEM","08_26_02_18:04:15"
"HLA_LA_113","LA",113,"T_LA_1883","Archbishop",1,,,"LEM","08_26_02_18:04:24","LEM","08_26_02_18:04:26"
"HLA_LA_114","LA",114,"T_LA_1898","Archbishop",1,,,"LEM","08_26_02_18:21:00","LEM","08_26_02_18:21:10"
