MoveRef,MoveSystemId,MoveID,Trialref,Moveto,Moveexists,Movedate,Movedate_as_date,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"HLA_LA_115","LA",115,"T_LA_1899","Archbishop",1,,,"LEM","08_26_02_18:22:38","LEM","08_26_02_18:22:39"
"HLA_LA_116","LA",116,"T_LA_1900","Archbishop",1,,,"LEM","08_26_02_18:27:26","LEM","08_26_02_18:27:28"
"HLA_LA_117","LA",117,"T_LA_1901","Bishop",1,,,"LEM","08_26_02_18:34:55","LEM","08_26_02_18:34:59"
"HLA_LA_118","LA",118,"T_LA_1971","Presbytery",1,,,"LEM","09_02_02_12:21:52","LEM","09_02_02_12:21:57"
"HLA_LA_119","LA",119,"T_LA_1969","Presbytery",1,,,"LEM","09_02_02_12:22:19","LEM","09_02_02_12:22:22"
"HLA_LA_120","LA",120,"T_LA_1970","Presbytery",1,,,"LEM","09_02_02_12:22:37","LEM","09_02_02_12:22:39"
"HLA_LA_121","LA",121,"T_LA_1968","Presbytery",1,,,"LEM","09_02_02_12:23:19","LEM","09_02_02_12:23:23"
"HLA_LA_122","LA",122,"T_JO_787","Presbytery",1,,,"LEM","09_02_02_12:28:31","LEM","09_02_02_12:28:33"
"HLA_LA_123","LA",123,"T_LA_1974","Presbytery",1,,,"LEM","09_02_02_12:45:32","LEM","09_02_02_12:45:35"
"HLA_LA_124","LA",124,"T_LA_1973","Presbytery",1,,,"LEM","09_02_02_12:45:49","LEM","09_02_02_12:45:50"
"HLA_LA_125","LA",125,"T_LA_1972","Presbytery",1,,,"LEM","09_02_02_12:45:59","LEM","09_02_02_12:46:00"
"HLA_LA_126","LA",126,"T_LA_1975","Presbytery",1,,,"LEM","09_02_02_12:47:27","LEM","09_02_02_12:47:30"
"HLA_LA_127","LA",127,"T_LA_1976","Presbytery",1,,,"LEM","09_02_02_12:53:18","LEM","09_02_02_12:53:20"
"HLA_LA_128","LA",128,"T_JO_351","Presbytery",1,,,"LEM","09_02_02_13:07:19","LEM","09_02_02_13:07:21"
"HLA_LA_129","LA",129,"T_LA_1978","Presbytery",1,,,"LEM","09_03_02_11:36:09","LEM","09_03_02_11:36:11"
"HLA_LA_13","LA",13,"T_LA_445","Bishop",1,,,"LEM","07_18_01_12:44:00","LEM","07_18_01_12:44:09"
"HLA_LA_130","LA",130,"T_LA_1979","Presbytery",1,,,"LEM","09_03_02_11:42:11","LEM","09_03_02_11:42:13"
"HLA_LA_131","LA",131,"T_LA_1980","Presbytery",1,,,"LEM","09_03_02_11:44:31","LEM","09_03_02_11:44:33"
"HLA_LA_132","LA",132,"T_LA_1981","Presbytery",1,,,"LEM","09_03_02_11:46:57","LEM","09_03_02_11:46:59"
"HLA_LA_133","LA",133,"T_LA_1985","Presbytery",1,,,"LEM","09_03_02_12:03:45","LEM","09_03_02_12:03:47"
"HLA_LA_134","LA",134,"T_LA_1986","Presbytery",1,,,"LEM","09_03_02_12:06:26","LEM","09_03_02_12:06:28"
"HLA_LA_135","LA",135,"T_LA_1987","Presbytery",1,,,"LEM","09_03_02_12:10:53","LEM","09_03_02_12:10:55"
"HLA_LA_136","LA",136,"T_LA_1988","Presbytery",1,,,"LEM","09_03_02_12:12:52","LEM","09_03_02_12:12:54"
"HLA_LA_137","LA",137,"T_LA_1989","Presbytery",1,,,"LEM","09_03_02_12:22:37","LEM","09_03_02_12:22:39"
"HLA_LA_138","LA",138,"T_LA_1990","Presbytery",1,,,"LEM","09_03_02_12:25:19","LEM","09_03_02_12:25:21"
"HLA_LA_139","LA",139,"T_LA_1991","Presbytery",1,,,"LEM","09_03_02_12:28:08","LEM","09_03_02_12:28:10"
"HLA_LA_14","LA",14,"T_LA_477","Presbytery",1,,,"LEM","07_18_01_15:31:32","LEM","07_18_01_15:31:38"
"HLA_LA_140","LA",140,"T_LA_1992","Presbytery",1,,,"LEM","09_03_02_12:31:02","LEM","09_03_02_12:31:04"
"HLA_LA_141","LA",141,"T_JO_98","Presbytery",1,,,"LEM","09_03_02_12:35:21","LEM","09_03_02_12:35:22"
"HLA_LA_142","LA",142,"T_LA_1993","Presbytery",1,,,"LEM","09_03_02_12:38:28","LEM","09_03_02_12:38:30"
"HLA_LA_143","LA",143,"T_LA_1994","Presbytery",1,,,"LEM","09_03_02_12:39:42","LEM","09_03_02_12:39:43"
"HLA_LA_144","LA",144,"T_LA_1995","Presbytery",1,,,"LEM","09_03_02_12:42:19","LEM","09_03_02_12:42:21"
"HLA_LA_145","LA",145,"T_JO_1440","Presbytery",1,,,"LEM","09_03_02_13:22:54","LEM","09_03_02_13:22:56"
"HLA_LA_146","LA",146,"T_LA_2004","Presbytery",1,,,"LEM","09_03_02_14:23:08","LEM","09_03_02_14:23:13"
"HLA_LA_147","LA",147,"T_LA_2005","Presbytery",1,,,"LEM","09_03_02_14:30:03","LEM","09_03_02_14:30:05"
"HLA_LA_148","LA",148,"T_JO_361","Presbytery",1,,,"LEM","09_03_02_14:58:02","LEM","09_03_02_14:58:03"
"HLA_LA_149","LA",149,"T_JO_362","Presbytery",1,,,"LEM","09_03_02_15:00:37","LEM","09_03_02_15:00:38"
"HLA_LA_151","LA",151,"T_LA_2008","Presbytery",1,,,"LEM","09_03_02_16:31:42","LEM","09_03_02_16:31:44"
"HLA_LA_152","LA",152,"T_LA_2009","Presbytery",1,,,"LEM","09_03_02_16:33:10","LEM","09_03_02_16:33:33"
"HLA_LA_153","LA",153,"T_LA_2010","Presbytery",1,,,"LEM","09_03_02_16:37:39","LEM","09_03_02_16:37:40"
"HLA_LA_154","LA",154,"T_LA_2011","Presbytery",1,,,"LEM","09_03_02_16:43:18","LEM","09_03_02_16:43:21"
"HLA_LA_155","LA",155,"T_LA_2012","Presbytery",1,,,"LEM","09_03_02_16:47:59","LEM","09_03_02_16:48:01"
"HLA_LA_156","LA",156,"T_JO_367","Presbytery",1,,,"LEM","09_03_02_16:50:35","LEM","09_03_02_16:50:38"
"HLA_LA_157","LA",157,"T_LA_2013","Presbytery",1,,,"LEM","09_03_02_16:54:22","LEM","09_03_02_16:54:24"
"HLA_LA_158","LA",158,"T_LA_2014","Presbytery",1,,,"LEM","09_03_02_17:03:29","LEM","09_03_02_17:03:32"
"HLA_LA_159","LA",159,"T_LA_2016","Presbytery",1,,,"LEM","09_04_02_09:48:30","LEM","09_04_02_09:48:32"
"HLA_LA_160","LA",160,"T_LA_2017","Presbytery",1,,,"LEM","09_04_02_10:12:46","LEM","09_04_02_10:12:48"
"HLA_LA_161","LA",161,"T_LA_2018","Presbytery",1,,,"LEM","09_04_02_10:15:04","LEM","09_04_02_10:15:06"
"HLA_LA_162","LA",162,"T_LA_2056","Presbytery",1,,,"LEM","09_04_02_15:55:33","LEM","09_04_02_15:55:34"
"HLA_LA_163","LA",163,"T_LA_2057","Presbytery",1,,,"LEM","09_04_02_16:19:42","LEM","09_04_02_16:19:44"
"HLA_LA_164","LA",164,"T_LA_2058","Presbytery",1,,,"LEM","09_04_02_16:31:25","LEM","09_04_02_16:31:27"
"HLA_LA_165","LA",165,"T_JO_140","Presbytery",1,,,"LEM","09_04_02_16:38:14","LEM","09_04_02_16:38:15"
"HLA_LA_166","LA",166,"T_JO_139","Presbytery",1,,,"LEM","09_04_02_16:44:42","LEM","09_04_02_16:44:45"
"HLA_LA_167","LA",167,"T_LA_2059","Presbytery",1,,,"LEM","09_04_02_16:49:59","LEM","09_04_02_16:50:00"
"HLA_LA_168","LA",168,"T_LA_2060","Presbytery",1,,,"LEM","09_04_02_16:53:22","LEM","09_04_02_16:53:23"
"HLA_LA_169","LA",169,"T_LA_2061","Presbytery",1,,,"LEM","09_04_02_16:56:54","LEM","09_04_02_16:56:56"
"HLA_LA_170","LA",170,"T_LA_2062","Presbytery",1,,,"LEM","09_04_02_17:02:22","LEM","09_04_02_17:02:24"
"HLA_LA_171","LA",171,"T_LA_2063","Presbytery",1,,,"LEM","09_04_02_17:04:19","LEM","09_04_02_17:04:23"
"HLA_LA_172","LA",172,"T_JO_145","Presbytery",1,,,"LEM","09_04_02_17:08:37","LEM","09_04_02_17:08:41"
"HLA_LA_173","LA",173,"T_LA_2064","Presbytery",1,,,"LEM","09_05_02_10:25:19","LEM","09_05_02_10:25:21"
"HLA_LA_174","LA",174,"T_LA_2065","Presbytery",1,,,"LEM","09_05_02_10:26:42","LEM","09_05_02_10:26:44"
"HLA_LA_175","LA",175,"T_LA_2066","Presbytery",1,,,"LEM","09_05_02_10:30:03","LEM","09_05_02_10:30:04"
"HLA_LA_176","LA",176,"T_LA_2067","Presbytery",1,,,"LEM","09_05_02_10:43:45","LEM","09_05_02_10:44:32"
"HLA_LA_177","LA",177,"T_JO_574","Presbytery",1,,,"LEM","09_05_02_10:46:41","LEM","09_05_02_10:46:45"
"HLA_LA_178","LA",178,"T_LA_2068","Presbytery",1,,,"LEM","09_05_02_10:53:35","LEM","09_05_02_10:53:37"
"HLA_LA_179","LA",179,"T_LA_2074","Presbytery",1,,,"LEM","09_05_02_11:26:10","LEM","09_05_02_11:26:12"
"HLA_LA_180","LA",180,"T_LA_2075","Presbytery",1,,,"LEM","09_05_02_11:30:28","LEM","09_05_02_11:30:30"
"HLA_LA_181","LA",181,"T_LA_2076","Presbytery",1,,,"LEM","09_05_02_11:33:22","LEM","09_05_02_11:33:24"
"HLA_LA_182","LA",182,"T_LA_2077","Presbytery",1,,,"LEM","09_05_02_11:34:38","LEM","09_05_02_11:34:39"
"HLA_LA_183","LA",183,"T_LA_2078","Presbytery",1,,,"LEM","09_05_02_11:36:59","LEM","09_05_02_11:37:03"
"HLA_LA_184","LA",184,"T_LA_2079","Presbytery",1,,,"LEM","09_05_02_11:39:25","LEM","09_05_02_11:39:27"
"HLA_LA_185","LA",185,"T_LA_2080","Presbytery",1,,,"LEM","09_05_02_11:42:29","LEM","09_05_02_11:42:32"
"HLA_LA_186","LA",186,"T_LA_2081","Presbytery",1,,,"LEM","09_05_02_11:44:25","LEM","09_05_02_11:44:27"
"HLA_LA_187","LA",187,"T_LA_2082","Presbytery",1,,,"LEM","09_05_02_11:53:10","LEM","09_05_02_11:53:13"
"HLA_LA_188","LA",188,"T_LA_2083","Presbytery",1,,,"LEM","09_05_02_11:57:37","LEM","09_05_02_11:57:39"
"HLA_LA_189","LA",189,"T_LA_2084","Presbytery",1,,,"LEM","09_05_02_11:58:58","LEM","09_05_02_11:59:00"
"HLA_LA_190","LA",190,"T_LA_2085","Presbytery",1,,,"LEM","09_05_02_12:05:12","LEM","09_05_02_12:05:14"
"HLA_LA_191","LA",191,"T_LA_2086","Bishop",1,,,"LEM","09_05_02_13:41:39","LEM","09_05_02_13:41:46"
"HLA_LA_193","LA",193,"T_LA_2090","Archbishop",1,,,"LEM","09_05_02_14:15:53","LEM","09_05_02_14:16:08"
"HLA_LA_194","LA",194,"T_LA_2092","Bishop",1,,,"LEM","09_05_02_14:34:05","LEM","09_05_02_14:34:07"
"HLA_LA_195","LA",195,"T_LA_2093","Bishop",1,,,"LEM","09_05_02_14:37:57","LEM","09_05_02_14:38:00"
"HLA_LA_196","LA",196,"T_LA_2094","Bishop",1,,,"LEM","09_05_02_14:40:36","LEM","09_05_02_14:40:38"
"HLA_LA_197","LA",197,"T_LA_2100","Bishop",1,,,"LEM","09_05_02_15:18:42","LEM","09_05_02_15:18:45"
"HLA_LA_198","LA",198,"T_JO_1180","Archbishop",1,,,"LEM","09_05_02_15:24:13","LEM","09_05_02_15:24:18"
"HLA_LA_199","LA",199,"T_JO_1181","Archbishop",1,,,"LEM","09_05_02_15:26:01","LEM","09_05_02_15:26:02"
"HLA_LA_2","LA",2,"T_LA_10","Bishop",1,,,"LEM","05_18_01_12:47:35","LEM","05_18_01_12:47:46"
"HLA_LA_200","LA",200,"T_LA_2101","Archbishop",1,"11_1633","11_01_33_00:00:00","LEM","09_05_02_15:37:12","jhm","10_03_02_11:46:31"
"HLA_LA_201","LA",201,"T_LA_2102","Archbishop",1,,,"LEM","09_05_02_15:40:29","LEM","09_05_02_15:40:30"
"HLA_LA_202","LA",202,"T_LA_2103","Archbishop",1,,,"LEM","09_05_02_15:42:19","LEM","09_05_02_15:42:21"
"HLA_LA_203","LA",203,"T_LA_2104","Archbishop",1,,,"LEM","09_06_02_14:59:54","LEM","09_06_02_14:59:55"
"HLA_LA_204","LA",204,"T_LA_156","Archbishop",1,"1634","06_01_34_00:00:00","LEM","09_06_02_15:03:25","jhm","10_03_02_11:40:27"
"HLA_LA_205","LA",205,"T_LA_2105","Bishop",1,,,"LEM","09_06_02_15:09:38","LEM","09_06_02_15:09:41"
"HLA_LA_206","LA",206,"T_LA_2109","Bishop",1,,,"LEM","09_09_02_10:49:48","LEM","09_09_02_10:49:51"
"HLA_LA_207","LA",207,"T_LA_2110","Bishop",1,,,"LEM","09_09_02_10:51:23","LEM","09_09_02_10:51:27"
"HLA_LA_208","LA",208,"T_LA_2111","Bishop",1,,,"LEM","09_09_02_10:51:48","LEM","09_09_02_10:51:51"
"HLA_LA_209","LA",209,"T_LA_2113","Bishop",1,,,"LEM","09_09_02_11:00:39","LEM","09_09_02_11:00:40"
"HLA_LA_210","LA",210,"T_LA_2114","Archbishop",1,,,"LEM","09_09_02_11:07:44","LEM","10_07_02_11:01:23"
"HLA_LA_211","LA",211,"T_LA_2115","Bishop",1,,,"LEM","09_09_02_11:16:58","LEM","09_09_02_11:16:59"
"HLA_LA_212","LA",212,"T_LA_2116","Bishop",1,,,"LEM","09_09_02_11:30:38","LEM","09_09_02_11:30:40"
"HLA_LA_213","LA",213,"T_LA_2117","Bishop",1,,,"LEM","09_09_02_11:33:24","LEM","09_09_02_11:33:27"
"HLA_LA_214","LA",214,"T_LA_2118","Bishop",1,,,"LEM","09_09_02_11:36:21","LEM","09_09_02_11:36:23"
"HLA_LA_215","LA",215,"T_LA_2119","Bishop",1,,,"LEM","09_09_02_11:38:29","LEM","09_09_02_11:38:32"
"HLA_LA_216","LA",216,"T_LA_2126","Archbishop",1,,,"LEM","09_09_02_12:00:18","LEM","09_09_02_12:00:20"
"HLA_LA_217","LA",217,"T_LA_2129","Archbishop",1,,,"LEM","09_09_02_12:22:24","LEM","09_09_02_12:22:26"
"HLA_LA_218","LA",218,"T_LA_2135","Presbytery",1,,,"LEM","09_09_02_12:38:55","LEM","09_09_02_12:38:57"
"HLA_LA_219","LA",219,"T_LA_1006","Presbytery",1,,,"LEM","09_09_02_12:41:23","LEM","09_09_02_12:41:25"
"HLA_LA_22","LA",22,"T_LA_780","Bishop",1,,,"LEM","09_06_01_12:42:39","LEM","09_06_01_12:42:45"
"HLA_LA_221","LA",221,"T_LA_2134","Bishop",1,,,"LEM","10_07_02_10:33:30","LEM","10_07_02_10:33:35"
"HLA_LA_222","LA",222,"T_LA_2112","Archbishop",1,,,"LEM","10_07_02_11:15:10","LEM","10_07_02_11:15:14"
"HLA_LA_223","LA",223,"T_LA_2089","Archbishop",1,,,"LEM","10_07_02_11:40:34","LEM","10_07_02_11:40:37"
"HLA_LA_224","LA",224,"T_JO_375","Presbytery",1,,,"LEM","10_29_02_10:02:12","LEM","10_29_02_10:02:16"
"HLA_LA_225","LA",225,"T_JO_376","Presbytery",1,,,"LEM","10_29_02_10:03:05","LEM","10_29_02_10:03:08"
"HLA_LA_23","LA",23,"T_LA_800","Archbishop",1,,,"LEM","09_06_01_16:14:03","LEM","09_06_01_16:14:10"
"HLA_LA_235","LA",235,"T_JO_2117","Synod",1,,,"LEM","10_30_02_11:18:05","LEM","10_30_02_11:18:13"
"HLA_LA_236","LA",236,"T_JO_1143","Local_magistrate",1,,,"LEM","10_31_02_17:00:49","LEM","10_31_02_17:00:55"
"HLA_LA_237","LA",237,"T_JO_1142","Local_magistrate",1,,,"LEM","10_31_02_17:03:46","LEM","10_31_02_17:03:49"
"HLA_LA_238","LA",238,"T_JO_1141","Local_magistrate",1,,,"LEM","10_31_02_17:05:26","LEM","10_31_02_17:05:29"
"HLA_LA_239","LA",239,"T_JO_537","Local_magistrate",1,,,"LEM","11_01_02_11:31:09","LEM","11_01_02_11:31:12"
"HLA_LA_240","LA",240,"T_JO_531","Local_magistrate",1,,,"LEM","11_01_02_11:38:43","LEM","11_01_02_11:38:47"
"HLA_LA_241","LA",241,"T_JO_527","Presbytery",1,,,"LEM","11_01_02_14:03:22","LEM","11_01_02_14:03:25"
"HLA_LA_242","LA",242,"T_JO_532","Local_magistrate",1,,,"LEM","11_01_02_14:38:21","LEM","11_01_02_14:38:26"
"HLA_LA_243","LA",243,"T_JO_533","Local_laird",1,,,"LEM","11_01_02_14:39:57","LEM","11_01_02_14:40:00"
"HLA_LA_244","LA",244,"T_JO_348","Presbytery",1,,,"LEM","11_01_02_15:18:14","LEM","11_01_02_15:18:15"
"HLA_LA_245","LA",245,"T_JO_345","Local_magistrate",1,,,"LEM","11_01_02_15:22:23","LEM","11_01_02_15:22:28"
"HLA_LA_246","LA",246,"T_JO_344","Local_magistrate",1,,,"LEM","11_01_02_15:23:08","LEM","11_01_02_15:23:12"
"HLA_LA_247","LA",247,"T_JO_328","Local_laird",1,,,"LEM","11_01_02_15:30:50","LEM","11_01_02_15:30:52"
"HLA_LA_248","LA",248,"T_JO_326","Local_laird",1,,,"LEM","11_01_02_15:33:28","LEM","11_01_02_15:33:30"
"HLA_LA_249","LA",249,"T_JO_192","Local_magistrate",1,,,"LEM","11_01_02_15:49:59","LEM","11_01_02_15:50:02"
"HLA_LA_250","LA",250,"T_JO_191","Local_magistrate",1,,,"LEM","11_01_02_15:50:25","LEM","11_01_02_15:50:28"
"HLA_LA_251","LA",251,"T_LA_475","Bishop",1,,,"LEM","11_04_02_10:30:22","LEM","11_04_02_10:30:25"
"HLA_LA_252","LA",252,"T_LA_231","Bishop",1,,,"LEM","11_05_02_13:59:20","LEM","11_05_02_13:59:22"
"HLA_LA_253","LA",253,"T_LA_1126","Presbytery",1,,,"LEM","11_06_02_10:11:30","LEM","11_06_02_10:11:34"
"HLA_LA_254","LA",254,"T_LA_1126","Justice_of_the_Peace",1,,,"LEM","11_06_02_10:11:35","LEM","11_06_02_10:11:38"
"HLA_LA_28","LA",28,"T_LA_999","Archbishop",1,"13_4_1632","04_13_32_00:00:00","LEM","10_16_01_11:53:34","LEM","10_16_01_11:53:49"
"HLA_LA_29","LA",29,"T_LA_1056","Presbytery",1,"13_6_1649","06_13_49_00:00:00","LEM","10_19_01_15:32:00","LEM","10_19_01_15:32:15"
"HLA_LA_3","LA",3,"T_LA_74","Archbishop_of_Glasgow",1,,,"LEM","06_08_01_11:34:50","LEM","06_08_01_11:35:04"
"HLA_LA_56","LA",56,"T_LA_1404","Sheriff_Court",1,"6_6_1615","06_06_15_00:00:00","LEM","06_17_02_16:16:40","LEM","06_17_02_16:16:57"
"HLA_LA_65","LA",65,"T_LA_1501","Presbytery",1,,,"LEM","07_10_02_10:03:17","LEM","07_10_02_10:03:27"
"HLA_LA_66","LA",66,"T_JO_872","Presbytery",1,"1_1650","01_01_50_00:00:00","LEM","07_10_02_10:20:37","LEM","07_10_02_10:20:49"
"HLA_LA_67","LA",67,"T_LA_1502","Presbytery",1,,,"LEM","07_10_02_10:36:35","LEM","07_10_02_10:36:47"
"HLA_LA_68","LA",68,"T_LA_1503","Presbytery",1,,,"LEM","07_10_02_10:48:48","LEM","07_10_02_10:48:52"
"HLA_LA_69","LA",69,"T_LA_1504","Presbytery",1,,,"LEM","07_10_02_13:27:42","LEM","07_10_02_13:27:47"
"HLA_LA_70","LA",70,"T_LA_1505","Presbytery",1,,,"LEM","07_10_02_13:36:33","LEM","07_10_02_13:36:50"
"HLA_LA_71","LA",71,"T_LA_1506","Presbytery",1,,,"LEM","07_10_02_13:47:09","LEM","07_10_02_13:47:12"
"HLA_LA_72","LA",72,"T_LA_37","Presbytery",1,,,"LEM","07_10_02_14:21:42","LEM","07_10_02_14:21:46"
"HLA_LA_73","LA",73,"T_LA_157","Lord_Advocate",1,"23_11_1643","11_23_43_00:00:00","LEM","07_10_02_16:13:01","LEM","07_10_02_16:13:20"
"HLA_LA_74","LA",74,"T_LA_1129","Justice_of_the_Peace",1,"2_2_1658","02_02_58_00:00:00","LEM","07_15_02_10:08:57","LEM","07_15_02_10:09:14"
"HLA_LA_75","LA",75,"T_JO_204","Local_magistrate",1,"5_1_1659","01_05_59_00:00:00","LEM","07_18_02_17:04:26","LEM","07_18_02_17:05:04"
"HLA_LA_91","LA",91,"T_LA_1683","Lord_Justice_General",1,"27_11_1660","11_27_60_00:00:00","LEM","08_01_02_10:25:16","LEM","08_01_02_10:25:44"
"HLA_LA_92","LA",92,"T_LA_1727","Lord_Justice_General",1,"27_11_1660","11_27_60_00:00:00","LEM","08_01_02_10:28:54","LEM","08_01_02_10:29:06"
"HLA_LA_93","LA",93,"T_LA_1750","Local_laird",1,"24_7_1649","07_24_49_00:00:00","LEM","08_02_02_11:47:11","LEM","08_02_02_11:47:25"
"HLA_LA_94","LA",94,"T_LA_1750","Committee_of_Estates",1,"24_10_1650","10_24_50_00:00:00","LEM","08_02_02_11:47:29","LEM","08_02_02_11:47:48"
