MeetingPlaceRef,MeetingPlaceSystemId,MeetingPlaceID,CaseRef,MeetingPlace_Place,Inversion,Location,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MP_JO_137","JO",137,"C_EGD_1954","Yard",0,"own_house","jhm","07_10_01_09:12:34","jhm","07_10_01_09:14:58"
"MP_JO_138","JO",138,"C_EGD_402",,0,"going_to_Edinburgh","jhm","07_10_01_09:21:16","jhm","07_10_01_09:22:35"
"MP_JO_139","JO",139,"C_JO_2830",,0,"'moremaddenhole'_Leith","jhm","07_10_01_10:05:45","jhm","07_10_01_10:06:36"
"MP_JO_140","JO",140,"C_JO_2830",,0,"the_'Latch'_Edinburgh","jhm","07_10_01_10:06:00","jhm","07_10_01_10:06:13"
"MP_JO_141","JO",141,"C_JO_2830","Burn",0,,"jhm","07_10_01_10:06:57","jhm","07_10_01_10:08:10"
"MP_JO_142","JO",142,"C_LA_2786",,0,"Windygoul","jhm","07_10_01_10:33:20","jhm","07_10_01_10:33:34"
"MP_JO_143","JO",143,"C_LA_2786","Hilltop",0,"Parson's_Knoll","jhm","07_10_01_10:33:36","jhm","07_10_01_10:33:54"
"MP_JO_146","JO",146,"C_EGD_402","House",0,"her_own_house","jhm","07_10_01_11:06:07","jhm","07_10_01_11:06:32"
"MP_JO_147","JO",147,"C_EGD_402",,0,"Jock's_Lodge","jhm","07_10_01_11:07:20","jhm","07_10_01_11:07:33"
"MP_JO_148","JO",148,"C_LA_2785","House_yard",0,"own_house","jhm","07_10_01_12:06:03","jhm","07_10_01_12:06:14"
"MP_JO_149","JO",149,"C_LA_2785","House",0,"in_bedroom","jhm","07_10_01_12:06:24","jhm","07_10_01_12:06:37"
"MP_JO_150","JO",150,"C_EGD_395","House",0,"own_house","jhm","07_10_01_12:44:28","jhm","07_10_01_12:44:38"
"MP_JO_151","JO",151,"C_EGD_397","Loch",0,"lochside,_beside_meadow","jhm","07_10_01_13:00:51","jhm","07_10_01_13:01:16"
"MP_JO_152","JO",152,"C_EGD_401","Hilltop",0,"Gallolaw","jhm","07_10_01_15:23:38","jhm","07_10_01_15:23:45"
"MP_JO_153","JO",153,"C_EGD_401",,0,"Jock's_Lodge","jhm","07_10_01_15:23:46","jhm","07_10_01_15:24:03"
"MP_JO_154","JO",154,"C_EGD_1954","Road",0,"Restalrig_Loan","jhm","07_10_01_15:36:41","jhm","07_10_01_15:37:07"
"MP_JO_157","JO",157,"C_EGD_398","House",0,"own_house_window","jhm","07_10_01_15:52:40","jhm","07_10_01_15:53:02"
"MP_JO_158","JO",158,"C_EGD_401","Burn",0,"North_Meadow_burn","jhm","07_10_01_16:05:11","jhm","07_10_01_16:05:28"
"MP_JO_159","JO",159,"C_EGD_396","Yard",0,"Andrew_Simmon's_whinns","jhm","07_11_01_09:52:39","jhm","07_11_01_09:53:48"
"MP_JO_160","JO",160,"C_EGD_400","Mill",0,"'Breastmilne'","jhm","07_11_01_13:06:02","jhm","07_11_01_13:07:37"
"MP_JO_165","JO",165,"C_EGD_400",,0,"Brownesmith?","jhm","07_16_01_10:42:38","jhm","07_16_01_10:45:40"
"MP_JO_170","JO",170,"C_JO_2846","Coalpit",0,"Southhundall?","jhm","07_24_01_10:43:03","jhm","07_24_01_10:44:55"
"MP_JO_173","JO",173,"C_EGD_1298","Burn",0,"Swynisburne","jhm","07_26_01_16:09:19","jhm","07_26_01_16:09:27"
"MP_JO_174","JO",174,"C_EGD_1817","House",0,"mother's_house","jhm","07_31_01_13:32:36","jhm","10_22_02_12:54:45"
"MP_JO_175","JO",175,"C_EGD_2005","Hilltop",0,"Gallowberry_Hill","jhm","07_31_01_14:58:50","jhm","07_31_01_15:28:36"
"MP_JO_176","JO",176,"C_EGD_1859","Hilltop",0,"Gallowberry_Hill","jhm","07_31_01_15:27:41","jhm","07_31_01_15:28:11"
"MP_JO_177","JO",177,"C_EGD_1860",,0,"Kirkurd","jhm","07_31_01_15:46:59","jhm","07_31_01_15:47:08"
"MP_JO_178","JO",178,"C_JO_2882","House",0,"own_house","jhm","09_07_01_12:20:30","jhm","09_07_01_12:20:46"
"MP_JO_179","JO",179,"C_JO_2882","Bridge",0,"Lintoun_Bridge","jhm","09_07_01_13:26:14","jhm","09_07_01_13:26:59"
"MP_JO_294","JO",294,"C_EGD_1367","Haugh",0,"Samuelston","jhm","10_19_01_10:34:59","jhm","10_19_01_10:37:08"
"MP_JO_295","JO",295,"C_EGD_1367","House",0,"Own_house","jhm","10_19_01_10:36:50","jhm","10_19_01_10:36:56"
"MP_JO_296","JO",296,"C_EGD_1368","Burn",0,"black_burn_beside_Calfward","jhm","10_19_01_10:56:11","jhm","10_19_01_10:56:39"
"MP_JO_297","JO",297,"C_EGD_1368","Moor",0,"Begbiemure","jhm","10_19_01_10:56:45","jhm","10_19_01_10:57:31"
"MP_JO_298","JO",298,"C_EGD_1368","Moor",0,"Overboltonmure","jhm","10_19_01_10:57:01","jhm","10_19_01_10:58:09"
"MP_JO_299","JO",299,"C_EGD_1368","Burn",0,"Kirkland_burn","jhm","10_19_01_10:58:11","jhm","10_19_01_11:04:46"
"MP_JO_300","JO",300,"C_EGD_1375","House",0,"own_house","jhm","10_19_01_12:07:01","jhm","10_19_01_12:07:09"
"MP_JO_301","JO",301,"C_EGD_1375","Moor",0,"Boltonmure","jhm","10_19_01_12:07:13","jhm","10_19_01_12:07:20"
"MP_JO_302","JO",302,"C_EGD_1375","Haugh",0,"Samuelston","jhm","10_19_01_12:07:32","jhm","10_19_01_12:07:42"
"MP_JO_303","JO",303,"C_EGD_1375","Moor",0,"Pilmure","jhm","10_19_01_12:07:43","jhm","10_19_01_12:07:49"
"MP_JO_304","JO",304,"C_EGD_1375","Burn",0,"Black_burn_of_Bolton","jhm","10_19_01_12:07:53","jhm","10_19_01_12:08:06"
"MP_JO_305","JO",305,"C_EGD_1375","Moor",0,"Begbiemure","jhm","10_19_01_12:08:07","jhm","10_19_01_12:09:14"
"MP_JO_306","JO",306,"C_EGD_1372","House",0,"outside_own_house","jhm","10_19_01_12:20:59","jhm","10_19_01_12:21:09"
"MP_JO_307","JO",307,"C_EGD_1372","Moor",0,"Baigbiemure","jhm","10_19_01_12:21:11","jhm","10_19_01_12:21:30"
"MP_JO_308","JO",308,"C_EGD_1372","Burn",0,"Black_burn_of_Bolton","jhm","10_19_01_12:21:33","jhm","10_22_01_12:10:18"
"MP_JO_309","JO",309,"C_EGD_1373","Moor",0,"Baigbiemure","jhm","10_19_01_12:40:07","jhm","10_19_01_12:40:18"
"MP_JO_310","JO",310,"C_EGD_1373","Burn",0,"Black_burn","jhm","10_19_01_12:40:31","jhm","10_19_01_12:40:54"
"MP_JO_311","JO",311,"C_JO_2905","House",0,"Elizabeth_Lawson's_house","jhm","10_19_01_13:00:13","jhm","10_19_01_13:00:29"
"MP_JO_312","JO",312,"C_JO_2905","Yard",0,"great_yard_of_Blause","jhm","10_19_01_13:00:30","jhm","10_19_01_13:00:41"
"MP_JO_313","JO",313,"C_JO_2905","Burn",0,"Black_burn","jhm","10_19_01_13:00:43","jhm","10_19_01_13:00:50"
"MP_JO_314","JO",314,"C_JO_2905","Well",0,"Cadger_well","jhm","10_19_01_13:00:54","jhm","10_19_01_13:01:02"
"MP_JO_315","JO",315,"C_EGD_1374","Burn",0,"Black_burn_of_Bolton","jhm","10_19_01_13:09:14","jhm","10_22_01_12:11:14"
"MP_JO_336","JO",336,"C_EGD_1367","Burn",0,"Blackburn_of_Bolton","jhm","10_19_01_16:28:22","jhm","10_19_01_16:28:31"
"MP_JO_337","JO",337,"C_EGD_1367","Moor",0,"baigbiemure","jhm","10_19_01_16:28:31","jhm","10_19_01_16:28:49"
"MP_JO_338","JO",338,"C_EGD_1374","Moor",0,"Baigbiemure","jhm","10_19_01_16:29:22","jhm","10_19_01_16:30:44"
"MP_JO_36","JO",36,"C_EGD_2121","Mercat_Cross",0,"Aberdeen","jhm","06_05_01_14:53:46","jhm","06_05_01_14:54:43"
"MP_JO_37","JO",37,"C_EGD_1324","House_yard",0,"Painston","jhm","06_13_01_12:39:14","jhm","06_13_01_12:40:19"
"MP_JO_38","JO",38,"C_EGD_1324","Loch",0,"Painston","jhm","06_13_01_12:54:04","jhm","06_13_01_12:54:24"
"MP_JO_39","JO",39,"C_EGD_1324","Dam",0,"Butter_Dam","jhm","06_13_01_12:59:49","jhm","06_13_01_13:00:18"
"MP_JO_40","JO",40,"C_EGD_1323","Dean_bank_head",0,"Nisbot","jhm","06_13_01_13:21:37","jhm","06_13_01_13:22:54"
"MP_JO_41","JO",41,"C_EGD_1323","Moor",0,,"jhm","06_13_01_13:22:59","jhm","06_13_01_13:23:39"
"MP_JO_42","JO",42,"C_EGD_1323","Moor",0,"Gladsmuir","jhm","06_13_01_13:23:42","jhm","10_03_02_14:38:37"
"MP_JO_43","JO",43,"C_EGD_1323","House",0,"Nisbot","jhm","06_13_01_13:24:12","jhm","06_13_01_13:25:04"
"MP_JO_440","JO",440,"C_EGD_1818","Hilltop",0,"Gallowbeirnie_Hill","jhm","11_27_01_13:52:29","jhm","11_27_01_13:53:06"
"MP_JO_451","JO",451,"C_EGD_2387","Mill",0,,"jhm","02_07_02_10:23:44","jhm","02_07_02_10:23:47"
"MP_JO_452","JO",452,"C_EGD_2387","Bridge",0,,"jhm","02_07_02_10:23:50","jhm","02_07_02_10:23:54"
"MP_JO_453","JO",453,"C_EGD_2387","Waterside",0,"West_Mill","jhm","02_07_02_10:23:55","jhm","02_07_02_10:24:54"
"MP_JO_454","JO",454,"C_JO_2959","House",0,"her_own_house","jhm","02_07_02_15:19:31","jhm","02_07_02_15:19:41"
"MP_JO_455","JO",455,"C_EGD_1848","Moor",0,"common_moor_of_Brechin_at_Lucifer's_loch","jhm","02_07_02_16:02:12","jhm","02_07_02_16:02:30"
"MP_JO_48","JO",48,"C_JO_2667","Moor",0,"Foxton_moor","jhm","06_14_01_15:44:59","jhm","06_14_01_15:45:08"
"MP_JO_49","JO",49,"C_JO_2668","Moor",0,"Foxton_moor","jhm","06_14_01_15:50:00","jhm","06_14_01_15:50:07"
"MP_JO_50","JO",50,"C_EGD_1337",,0,,"jhm","06_15_01_09:26:03","jhm","06_15_01_09:27:52"
"MP_JO_550","JO",550,"C_EGD_2153","Hilltop",0,"Hill_of_Cragleauche","jhm","03_07_02_16:21:33","jhm","03_07_02_16:21:51"
"MP_JO_551","JO",551,"C_EGD_2119","Mercat_Cross",0,"Aberdeen","jhm","05_02_02_12:45:55","jhm","05_02_02_12:55:51"
"MP_JO_552","JO",552,"C_EGD_2119","Fish_cross",0,"Aberdeen","jhm","05_02_02_12:55:35","jhm","05_02_02_12:56:02"
"MP_JO_553","JO",553,"C_EGD_2119","Meal_market",0,"Aberdeen","jhm","05_02_02_12:56:04","jhm","05_02_02_12:56:27"
"MP_JO_554","JO",554,"C_EGD_2159","Jail",0,"Slains","jhm","05_09_02_13:05:59","jhm","05_09_02_13:06:13"
"MP_JO_555","JO",555,"C_EGD_2159","Loch",0,"near_her_house","jhm","05_09_02_13:06:26","jhm","05_09_02_13:06:48"
"MP_JO_556","JO",556,"C_EGD_2163",,0,"between_Lumphanan_and_Cragleuch","jhm","05_14_02_16:17:02","jhm","05_14_02_16:18:15"
"MP_JO_558","JO",558,"C_EGD_2154",,0,"Craigleauch","jhm","05_16_02_11:55:19","jhm","05_16_02_11:55:38"
"MP_JO_561","JO",561,"C_EGD_2161","Foot_of_hill",0,"Craigleuch","jhm","06_03_02_12:28:32","jhm","06_03_02_12:35:23"
"MP_JO_562","JO",562,"C_EGD_2162","Hilltop",0,"Hill_of_Cragleuche","jhm","06_03_02_15:25:35","jhm","06_03_02_15:26:08"
"MP_JO_565","JO",565,"C_EGD_2130","Yard",0,"Lammyntownis_yard","jhm","06_10_02_18:07:17","jhm","06_10_02_18:07:38"
"MP_JO_566","JO",566,"C_EGD_2130","yard",0,"James_Thomsoun's_yard","jhm","06_10_02_18:07:51","jhm","06_10_02_18:08:03"
"MP_JO_567","JO",567,"C_EGD_2130","Cross",0,"Fish_cross","jhm","06_10_02_18:08:11","jhm","06_10_02_18:08:18"
"MP_JO_568","JO",568,"C_EGD_2130","Mercat_Cross",0,"meal_market","jhm","06_10_02_18:08:19","jhm","06_10_02_18:08:51"
"MP_JO_569","JO",569,"C_EGD_2122","Yard",0,"James_Thomsouns's_yard","jhm","06_10_02_18:50:20","jhm","06_10_02_18:50:51"
"MP_JO_570","JO",570,"C_EGD_2122","Cross",0,"Fish_cross","jhm","06_10_02_18:50:52","jhm","06_10_02_18:51:00"
"MP_JO_571","JO",571,"C_EGD_2122","Mercat_Cross",0,"meal_market","jhm","06_10_02_18:51:00","jhm","06_10_02_18:51:10"
"MP_JO_572","JO",572,"C_EGD_2123","Yard",0,"James_Thomsoun's_yard","jhm","06_10_02_20:51:06","jhm","06_10_02_20:51:34"
"MP_JO_573","JO",573,"C_EGD_2123","Cross",0,"Fish_cross","jhm","06_10_02_20:51:36","jhm","06_10_02_20:51:41"
"MP_JO_574","JO",574,"C_EGD_2123","Mercat_Cross",0,"meal_mercat","jhm","06_10_02_20:51:42","jhm","06_10_02_20:51:53"
"MP_JO_575","JO",575,"C_EGD_2141","House",0,"own_house","jhm","06_10_02_21:50:22","jhm","06_10_02_21:50:27"
"MP_JO_576","JO",576,"C_EGD_2141","Field",0,"assorted_fields","jhm","06_10_02_21:50:28","jhm","06_10_02_21:50:44"
"MP_JO_577","JO",577,"C_JO_3046","Links",0,"Links_of_Muness","jhm","06_17_02_16:04:29","jhm","06_17_02_16:04:42"
"MP_JO_582","JO",582,"C_JO_3059",,0,"between_mill_and_park","jhm","06_27_02_14:38:51","jhm","06_27_02_14:38:58"
"MP_JO_583","JO",583,"C_JO_3059","Hilltop",0,"above_Kincardine","jhm","06_27_02_14:38:58","jhm","06_27_02_14:39:09"
"MP_JO_584","JO",584,"C_JO_3068","House",0,"neighbour's_house","jhm","07_02_02_09:21:58","jhm","07_02_02_09:22:10"
"MP_JO_585","JO",585,"C_EGD_297","House",0,"neighbour's_house","jhm","07_03_02_16:23:59","jhm","07_03_02_16:25:13"
"MP_JO_586","JO",586,"C_EGD_297","Cross",0,"Alloa_cross","jhm","07_04_02_10:57:34","jhm","07_04_02_10:57:39"
"MP_JO_587","JO",587,"C_EGD_297",,0,"Cunigar?","jhm","07_04_02_10:57:42","jhm","07_04_02_10:57:47"
"MP_JO_588","JO",588,"C_EGD_297","Barn",0,"at_barn_door","jhm","07_04_02_10:58:26","jhm","07_04_02_10:58:47"
"MP_JO_589","JO",589,"C_EGD_297","House",0,"other_person's_house","jhm","07_04_02_10:58:48","jhm","07_04_02_10:59:08"
"MP_JO_590","JO",590,"C_EGD_294","Meadow",0,,"jhm","07_04_02_11:49:57","jhm","11_13_02_12:37:48"
"MP_JO_591","JO",591,"C_EGD_294","Burn",0,"Bagraburn","jhm","07_04_02_11:50:00","jhm","07_04_02_14:16:09"
"MP_JO_592","JO",592,"C_EGD_294","House",0,"other_people's_houses","jhm","07_04_02_11:50:26","jhm","07_04_02_11:50:36"
"MP_JO_593","JO",593,"C_EGD_291","Meadow",0,,"jhm","07_04_02_14:01:51","jhm","11_13_02_12:38:06"
"MP_JO_594","JO",594,"C_EGD_291","House",0,"other_people's_house","jhm","07_04_02_14:01:55","jhm","07_04_02_14:02:06"
"MP_JO_595","JO",595,"C_EGD_293","Meadow",0,,"jhm","07_04_02_15:17:20","jhm","11_13_02_12:38:38"
"MP_JO_596","JO",596,"C_EGD_293","Burn",0,"Bagraburn","jhm","07_04_02_15:17:24","jhm","07_04_02_15:17:31"
"MP_JO_597","JO",597,"C_EGD_293","House",0,"other_person's_house","jhm","07_04_02_15:17:31","jhm","07_04_02_15:17:52"
"MP_JO_598","JO",598,"C_EGD_293","Barn",0,,"jhm","07_04_02_15:18:33","jhm","07_04_02_15:18:46"
"MP_JO_599","JO",599,"C_EGD_1746","House",0,"own_house","jhm","07_10_02_13:10:26","jhm","07_10_02_13:10:52"
"MP_JO_600","JO",600,"C_EGD_2373","Town_wall",0,"town_wall_at_West_Post,_Edinburgh","jhm","07_11_02_10:56:04","jhm","07_11_02_10:58:34"
"MP_JO_601","JO",601,"C_EGD_2373","Quarry",0,"Quarrell_hole_(quarry)","jhm","07_11_02_10:58:37","jhm","07_11_02_10:59:10"
"MP_JO_602","JO",602,"C_EGD_2373",,0,"place_of_Merchiston","jhm","07_11_02_11:04:49","jhm","07_11_02_11:05:07"
"MP_JO_603","JO",603,"C_EGD_1813","Hilltop",0,"Corstorphine_hill","jhm","07_11_02_12:47:44","jhm","07_11_02_12:47:58"
"MP_JO_604","JO",604,"C_EGD_1813","Park",0,,"jhm","07_11_02_12:47:59","jhm","07_11_02_12:48:13"
"MP_JO_605","JO",605,"C_EGD_1628","Park",0,,"jhm","07_11_02_13:45:06","jhm","07_11_02_13:45:13"
"MP_JO_606","JO",606,"C_JO_3093","House",0,"her_own_house","jhm","07_18_02_10:29:07","jhm","07_18_02_10:29:28"
"MP_JO_622","JO",622,"C_EGD_2446","Loan",0,"Pittenweem","jhm","08_02_02_15:10:36","jhm","08_02_02_15:11:08"
"MP_JO_623","JO",623,"C_EGD_830","Loan",0,"Pittenweem","jhm","08_02_02_15:16:00","jhm","08_02_02_15:16:06"
"MP_JO_624","JO",624,"C_EGD_831","Moor",0,"Ceres_Moor","jhm","08_02_02_15:28:16","jhm","08_02_02_15:28:22"
"MP_JO_625","JO",625,"C_EGD_2446","Tolbooth",0,"Laigh_Tolbooth","jhm","08_02_02_15:36:17","jhm","08_06_02_09:40:46"
"MP_JO_626","JO",626,"C_EGD_2444","House",0,"McGregor's_house","jhm","08_02_02_15:38:29","jhm","08_02_02_15:38:39"
"MP_JO_646","JO",646,"C_EGD_1533","Moor",0,"Corsmore","jhm","08_27_02_09:51:52","jhm","08_27_02_09:53:27"
"MP_JO_647","JO",647,"C_EGD_1533",,0,"between_Kilmachalmok_and_Edinmore","jhm","08_27_02_10:03:37","jhm","08_27_02_10:05:00"
"MP_JO_648","JO",648,"C_EGD_1533","Moor",0,"between_Mikell_Kilmorie_and_Killeferne_Moore","jhm","08_27_02_10:06:01","jhm","08_27_02_10:06:43"
"MP_JO_649","JO",649,"C_EGD_1533",,0,"Lochfyne","jhm","08_27_02_10:07:16","jhm","08_27_02_10:07:21"
"MP_JO_650","JO",650,"C_EGD_1527","House",0,"own_house","jhm","08_27_02_10:26:54","jhm","08_27_02_10:27:12"
"MP_JO_651","JO",651,"C_EGD_1527",,0,"Cregandow_or_Bute_quay","jhm","08_27_02_10:27:20","jhm","08_27_02_10:27:33"
"MP_JO_652","JO",652,"C_JO_3246","Field",0,"Faldtombuie","jhm","08_27_02_11:56:58","jhm","08_27_02_11:57:18"
"MP_JO_653","JO",653,"C_JO_3246","Yard",0,"Caleyaird","jhm","08_27_02_11:57:30","jhm","08_27_02_11:57:47"
"MP_JO_654","JO",654,"C_JO_3246","Hilltop",0,"Kilmory","jhm","08_27_02_11:59:29","jhm","08_27_02_12:06:10"
"MP_JO_655","JO",655,"C_JO_3247","Hilltop",0,"Ardturr_and_Glackiriska,_Appin","jhm","08_27_02_13:45:16","jhm","08_27_02_13:45:55"
"MP_JO_656","JO",656,"C_JO_3247",,0,"Lismore","jhm","08_27_02_13:49:17","jhm","08_27_02_13:49:20"
"MP_JO_657","JO",657,"C_JO_3247","Fairy_mound",0,"Shian_of_Barcaldine","jhm","08_27_02_13:49:22","jhm","08_27_02_13:50:05"
"MP_JO_658","JO",658,"C_JO_3248",,0,"Knockanrioch","jhm","08_28_02_10:00:46","jhm","08_28_02_10:01:02"
"MP_JO_659","JO",659,"C_JO_3248",,0,"Bute_quay","jhm","08_28_02_10:14:42","jhm","08_28_02_10:14:52"
"MP_JO_66","JO",66,"C_EGD_604","Shore",0,"Bute_Quau","jhm","06_27_01_12:13:09","jhm","08_27_02_11:20:57"
"MP_JO_660","JO",660,"C_JO_3071","House",0,"Neighbour's_house","jhm","09_26_02_12:57:23","jhm","09_26_02_12:57:39"
"MP_LA_1","LA",1,"C_EGD_160","Hilltop",0,"Dounhill_of_Spott","LEM","05_17_01_10:49:52","LEM","05_17_01_10:50:38"
